t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-4.144621,-2.142518,1.000000,0.000000
0.200000,2.262226,-4.403343,-2.141117,0.908002,0.417310
0.400000,2.341768,-4.482798,-2.141031,0.649800,0.758341
0.600000,2.380748,-4.521815,-2.141067,0.272641,0.960216
0.800000,2.402489,-4.543517,-2.141028,-0.154324,0.985859
1.000000,2.412405,-4.553459,-2.141054,-0.552800,0.830534
1.200000,2.388758,-4.529848,-2.141091,-0.849753,0.522789
1.400000,2.396164,-4.537225,-2.141061,-0.990645,0.118981
1.600000,2.356120,-4.497188,-2.141068,-0.949757,-0.306656
1.800000,2.344927,-4.486009,-2.141081,-0.734471,-0.676001
2.000000,2.356259,-4.497336,-2.141078,-0.384208,-0.921441
2.200000,2.318329,-4.459414,-2.141085,0.036548,-0.997949
2.400000,2.302559,-4.443605,-2.141046,0.450624,-0.891380
2.600000,2.293158,-4.434243,-2.141086,0.782111,-0.621300
2.800000,2.274878,-4.415998,-2.141120,0.970202,-0.237336
3.000000,2.330911,-4.472007,-2.141096,0.980204,0.190113
3.200000,2.364145,-4.505228,-2.141083,0.810433,0.582768
3.400000,2.392396,-4.533462,-2.141066,0.492036,0.868326
3.600000,2.396299,-4.537362,-2.141063,0.083283,0.994568
3.800000,2.329579,-4.470656,-2.141077,-0.340832,0.938442
4.000000,2.293723,-4.434823,-2.141100,-0.702144,0.710154
