t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.0,0.50063,-0.994642,-0.494013,1.0,0.0
0.2,0.496437,-0.990442,-0.494005,0.995093,0.0988
0.4,0.494424,-0.988431,-0.494007,0.98045,0.196641
0.6,0.492937,-0.986945,-0.494008,0.95621,0.292559
0.8,0.491712,-0.98572,-0.494009,0.92261,0.385613
1.0,0.490696,-0.984705,-0.494009,0.879978,0.474892
1.2,0.489841,-0.983851,-0.49401,0.828733,0.559522
1.4,0.48903,-0.983039,-0.494009,0.769375,0.638674
1.6,0.488252,-0.982262,-0.49401,0.702485,0.711572
1.8,0.487778,-0.981789,-0.494011,0.628719,0.777505
2.0,0.48736,-0.98137,-0.49401,0.548799,0.835824
2.2,0.48684,-0.980849,-0.494009,0.463508,0.885959
2.4,0.486132,-0.980142,-0.49401,0.373678,0.927418
2.6,0.485513,-0.979522,-0.49401,0.28019,0.959798
2.8,0.484912,-0.978923,-0.494011,0.183959,0.982781
3.0,0.484621,-0.978632,-0.494011,0.085927,0.996142
3.2,0.484561,-0.978572,-0.494011,-0.012943,0.999752
3.4,0.484456,-0.978468,-0.494012,-0.111686,0.993572
3.6,0.48461,-0.978622,-0.494012,-0.209335,0.977666
3.8,0.484844,-0.978856,-0.494012,-0.304932,0.952189
4.0,0.485088,-0.9791,-0.494012,-0.397542,0.917389
4.2,0.485275,-0.979286,-0.494012,-0.486257,0.873607
4.4,0.485357,-0.979368,-0.494011,-0.57021,0.821271
4.6,0.485121,-0.979132,-0.494011,-0.648579,0.760894
4.8,0.484984,-0.978995,-0.494011,-0.720598,0.693067
5.0,0.484996,-0.979007,-0.494011,-0.785561,0.618455
5.2,0.484854,-0.978865,-0.494011,-0.842831,0.537789
5.4,0.484558,-0.978568,-0.49401,-0.891847,0.451859
5.6,0.484186,-0.978197,-0.49401,-0.93213,0.361504
5.8,0.483928,-0.977939,-0.494011,-0.963286,0.26761
6.0,0.483734,-0.977745,-0.49401,-0.985009,0.171098
6.2,0.48336,-0.97737,-0.49401,-0.997087,0.072911
6.4,0.482822,-0.976832,-0.49401,-0.999401,-0.025989
6.6,0.481928,-0.975937,-0.494008,-0.991928,-0.124633
6.8,0.480931,-0.974941,-0.494011,-0.974741,-0.22206
7.0,0.480583,-0.974594,-0.494011,-0.948013,-0.317312
7.2,0.480309,-0.974319,-0.494011,-0.912002,-0.409456
7.4,0.480098,-0.974109,-0.494011,-0.867062,-0.497589
7.6,0.480075,-0.974086,-0.494011,-0.813632,-0.580849
7.8,0.479981,-0.973992,-0.494011,-0.752235,-0.65842
8.0,0.479674,-0.973685,-0.49401,-0.683473,-0.729543
8.2,0.479428,-0.97344,-0.494011,-0.608017,-0.793522
8.4,0.479385,-0.973396,-0.494011,-0.526609,-0.849731
8.6,0.4793,-0.973311,-0.494011,-0.440043,-0.897617
8.8,0.479193,-0.973204,-0.494011,-0.349168,-0.936715
9.0,0.479277,-0.973289,-0.494012,-0.254873,-0.96664
9.2,0.479665,-0.973677,-0.494012,-0.158083,-0.987101
9.4,0.480051,-0.974063,-0.494013,-0.059745,-0.997896
9.6,0.480552,-0.974564,-0.494012,0.039176,-0.99892
9.8,0.481019,-0.975032,-0.494013,0.137715,-0.990161
10.0,0.481696,-0.975709,-0.494014,0.234905,-0.971707
10.2,0.482513,-0.976526,-0.494013,0.329795,-0.943738
10.4,0.483097,-0.97711,-0.494013,0.421455,-0.906527
10.6,0.483373,-0.977385,-0.494012,0.508987,-0.860438
10.8,0.483111,-0.977123,-0.494012,0.591537,-0.805921
11.0,0.483172,-0.977184,-0.494012,0.668296,-0.743513
11.2,0.4833,-0.977313,-0.494013,0.738513,-0.673824
11.4,0.483618,-0.97763,-0.494012,0.801498,-0.597537
11.6,0.484,-0.978012,-0.494012,0.856636,-0.5154
11.8,0.484268,-0.97828,-0.494011,0.903385,-0.428215
12.0,0.484119,-0.97813,-0.494012,0.941288,-0.336835
12.2,0.484221,-0.978232,-0.494012,0.969975,-0.242156
12.4,0.484225,-0.978236,-0.49401,0.989165,-0.145106
12.6,0.484157,-0.978167,-0.494011,0.998669,-0.046633
