t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.0,0.50377,-0.98333,-0.47956,1.0,0.0
0.2,0.493492,-0.972957,-0.479465,0.995183,0.096651
0.4,0.487702,-0.967195,-0.479493,0.981081,0.192466
0.6,0.483423,-0.96293,-0.479507,0.957775,0.286486
0.8,0.47997,-0.959487,-0.479517,0.925479,0.377819
1.0,0.477021,-0.956543,-0.479523,0.884493,0.465603
1.2,0.474459,-0.953981,-0.479522,0.835203,0.549008
1.4,0.472154,-0.951682,-0.479528,0.778066,0.627256
1.6,0.470421,-0.949954,-0.479533,0.713628,0.699607
1.8,0.468745,-0.94828,-0.479535,0.642491,0.765375
2.0,0.466845,-0.946378,-0.479533,0.565315,0.82394
2.2,0.465168,-0.944698,-0.47953,0.482828,0.87476
2.4,0.463428,-0.94297,-0.479543,0.395802,0.917356
2.6,0.462395,-0.941939,-0.479545,0.305063,0.951335
2.8,0.461679,-0.941221,-0.479542,0.211468,0.976371
3.0,0.46092,-0.940467,-0.479547,0.115888,0.992226
3.2,0.460775,-0.940327,-0.479552,0.019229,0.998757
3.4,0.460785,-0.940338,-0.479553,-0.077597,0.9959
3.6,0.460813,-0.940369,-0.479555,-0.173682,0.983677
3.8,0.460215,-0.939736,-0.479521,-0.268121,0.962201
4.0,0.459584,-0.939137,-0.479553,-0.360041,0.931672
4.2,0.459336,-0.938888,-0.479552,-0.448571,0.892388
4.4,0.459067,-0.938619,-0.479552,-0.532874,0.844718
4.6,0.458612,-0.938157,-0.479545,-0.612154,0.789107
4.8,0.457992,-0.937537,-0.479546,-0.685673,0.726073
5.0,0.457756,-0.937314,-0.479558,-0.752742,0.656216
5.2,0.457317,-0.936866,-0.479549,-0.812721,0.580196
5.4,0.456628,-0.93617,-0.479541,-0.865048,0.498723
5.6,0.455063,-0.934587,-0.479524,-0.909226,0.412561
5.8,0.452535,-0.932079,-0.479544,-0.944846,0.322499
6.0,0.451685,-0.931228,-0.479543,-0.971595,0.229414
6.2,0.450971,-0.930521,-0.47955,-0.989204,0.134179
6.4,0.450528,-0.930081,-0.479554,-0.997508,0.037686
6.6,0.450551,-0.9301,-0.479549,-0.996431,-0.05915
6.8,0.450065,-0.929611,-0.479546,-0.985973,-0.15542
7.0,0.449348,-0.9289,-0.479552,-0.966235,-0.25023
7.2,0.449156,-0.928706,-0.47955,-0.937411,-0.342679
7.4,0.448859,-0.928409,-0.47955,-0.899763,-0.4319
7.6,0.448482,-0.928032,-0.47955,-0.853647,-0.517058
7.8,0.448692,-0.928246,-0.479554,-0.799503,-0.597356
8.0,0.449093,-0.928653,-0.47956,-0.737841,-0.672029
8.2,0.449801,-0.929359,-0.479558,-0.669242,-0.740377
8.4,0.450506,-0.930074,-0.479567,-0.594345,-0.801756
8.6,0.452141,-0.931727,-0.479586,-0.51386,-0.855597
8.8,0.453651,-0.933226,-0.479575,-0.428547,-0.901379
9.0,0.455023,-0.934588,-0.479565,-0.339209,-0.938673
9.2,0.454799,-0.93435,-0.479551,-0.246674,-0.967118
9.4,0.454727,-0.93428,-0.479553,-0.151806,-0.986468
9.6,0.45497,-0.934532,-0.479562,-0.055504,-0.99654
9.8,0.45545,-0.935011,-0.479562,0.041318,-0.997239
10.0,0.456159,-0.935725,-0.479566,0.137748,-0.988558
10.2,0.455979,-0.935519,-0.47954,0.232875,-0.970565
10.4,0.455797,-0.93535,-0.479553,0.325821,-0.94344
10.6,0.455382,-0.934931,-0.479549,0.415699,-0.907436
10.8,0.454462,-0.933997,-0.479535,0.501666,-0.862888
11.0,0.452963,-0.932498,-0.479535,0.582915,-0.810214
11.2,0.450778,-0.930303,-0.479524,0.658687,-0.749903
11.4,0.448849,-0.928409,-0.47956,0.728286,-0.682517
11.6,0.452628,-0.932204,-0.479576,0.791064,-0.608761
11.8,0.454049,-0.93362,-0.47957,0.84637,-0.529272
12.0,0.455123,-0.934688,-0.479565,0.893711,-0.4448
12.2,0.456096,-0.935663,-0.479567,0.932644,-0.356137
12.4,0.456983,-0.936545,-0.479562,0.962803,-0.264119
12.6,0.457595,-0.937165,-0.47957,0.983904,-0.169609
