nT,xi1,xi2
10.0,0.7857682564894435,0.7779906947093729
17.78279410038923,0.7643055595703054,0.7433628349498123
31.622776601683793,0.6458746476401719,0.6347646384364602
56.23413251903491,0.5139564979344547,0.5081439346913258
100.0,0.3634783333208779,0.360944692244034
177.82794100389228,0.15039217130215435,0.14810689454897677
316.22776601683796,0.03443587578074411,0.030922106484796704
562.341325190349,0.03497687458205284,0.0339102444428071
1000.0,0.03615548186985799,0.035833075938597685
1778.2794100389228,0.03610230155744767,0.03600029436229026
3162.2776601683795,0.03624718663660829,0.03621509278754326
5623.413251903491,0.03628311788030908,0.036272981850676914
10000.0,0.03638890510287523,0.03638571076187292
17782.794100389227,0.0364064588787419,0.03640544931476123
31622.776601683792,0.03640079490363953,0.03640047559523681
56234.13251903491,0.03638804024087683,0.036387939225851686
100000.0,0.036391324842065885,0.03639129290166352
