nT,xi1,xi2
10.0,0.762972061446619,0.7361806014695683
17.78279410038923,0.6381669434066496,0.6209624171181836
31.622776601683793,0.5426899787053973,0.5352393025022615
56.23413251903491,0.43306506105925324,0.43025548525267865
100.0,0.4673393415116727,0.4653235996699477
177.82794100389228,0.36884940985804643,0.36777034100481915
316.22776601683796,0.3260565038872292,0.3256206644230496
562.341325190349,0.21588207647156007,0.2156531874229508
1000.0,0.13755698922644322,0.1374296940943405
1778.2794100389228,0.09419595391801909,0.09413781767552384
3162.2776601683795,0.06889114340893293,0.06886559047998288
5623.413251903491,0.029192829150512033,0.02917377125990858
10000.0,0.00540139173362434,0.005368468496723917
17782.794100389227,0.005584932602768242,0.005574869308384004
31622.776601683792,0.005627959038807696,0.005624801785061396
56234.13251903491,0.005630902981254304,0.005629905208146163
100000.0,0.0056386784222563725,0.005638363335950918
