nT,xi1,xi2
10.0,0.021133510739379576,0.013993134064829615
17.78279410038923,0.012325459891536354,0.008400331980679
31.622776601683793,0.007148586933617787,0.00501434360604952
56.23413251903491,0.003663968073937428,0.002287007597132647
100.0,0.0018144820711941778,0.0008324005959022566
177.82794100389228,0.00095617920479624,0.00030238651441424593
316.22776601683796,0.0005457451647901377,0.0001942552525362138
562.341325190349,0.000334047072652415,0.00017125249640981066
1000.0,0.00018655158036742203,9.371470440883706e-05
1778.2794100389228,0.00013695853073889282,0.0001026163139669284
3162.2776601683795,0.00010968598401559323,9.710392299736945e-05
5623.413251903491,0.00010041145667299888,9.622723552333056e-05
10000.0,9.480095903975306e-05,9.34185695384204e-05
17782.794100389227,9.366881881427044e-05,9.322857455767539e-05
31622.776601683792,9.343217813342615e-05,9.3292832361211e-05
56234.13251903491,9.35066180808292e-05,9.346261076997852e-05
100000.0,9.342958280760521e-05,9.341565721421702e-05
