nT,xi1,xi2
10.0,0.016299229242346717,0.007443486466346086
17.78279410038923,0.010750798161153489,0.0069612065843244345
31.622776601683793,0.008202478211072808,0.006784566989876932
56.23413251903491,0.007230282144908447,0.006752787736256329
100.0,0.006708961314485416,0.006549405889282052
177.82794100389228,0.006569815543570038,0.00651868167274712
316.22776601683796,0.006582232373418715,0.006566147472782753
562.341325190349,0.006566778893377937,0.006561684417369502
1000.0,0.006543575711937034,0.006541958990314725
1778.2794100389228,0.006547223774608988,0.006546712884516152
3162.2776601683795,0.006544715937710992,0.006544554317670898
5623.413251903491,0.006544162253380345,0.006544111140428097
10000.0,0.0065419008253111794,0.006541884655922661
17782.794100389227,0.006541542331730985,0.006541537218221004
31622.776601683792,0.006541673809832122,0.006541672192832817
56234.13251903491,0.006541955168971921,0.006541954657657648
100000.0,0.006541884073342988,0.0065418839116492735
