nT,xi1,xi2
10.0,0.15789845273582825,0.14200620590998567
17.78279410038923,0.06945818844780469,0.05359007372246306
31.622776601683793,0.037699154019922014,0.027196261891910517
56.23413251903491,0.032263123432556905,0.028696630493963864
100.0,0.030959977704671893,0.029820165141095055
177.82794100389228,0.03055107941961013,0.03018962384284703
316.22776601683796,0.03032780790318459,0.030213181303529086
562.341325190349,0.03028773655777659,0.030251479267889653
1000.0,0.030302098005363137,0.030290638027066843
1778.2794100389228,0.030290092905003233,0.030286468241492892
3162.2776601683795,0.03029195971803243,0.03029081356521263
5623.413251903491,0.030292189361993346,0.03029182692054602
10000.0,0.03029555165673773,0.030295437051011533
17782.794100389227,0.03029605947891471,0.030296023237811845
31622.776601683792,0.030295829548287398,0.03029581808779217
56234.13251903491,0.030295375093948324,0.03029537146978721
100000.0,0.030295486197830956,0.030295485051772736
