64,64
0,0,0.08637541231806348,0.0
0,1,0.04475483244157041,0.0
0,2,0.014841223709338675,0.0
0,3,-0.006151903302235546,0.0
0,4,-0.020400427879133712,0.0
0,5,-0.029596960286496877,0.0
0,6,-0.03505248841019262,0.0
0,7,-0.0377773936237499,0.0
0,8,-0.03854591916683232,0.0
0,9,-0.03794738113439424,0.0
0,10,-0.036426770853697533,0.0
0,11,-0.034316879226136784,0.0
0,12,-0.031863655178373175,0.0
0,13,-0.029246172735373676,0.0
0,14,-0.02659230899872868,0.0
0,15,-0.023991015992502366,0.0
0,16,-0.021501892791909314,0.0
0,17,-0.019162622362022545,0.0
0,18,-0.01699472344803098,0.0
0,19,-0.015007976284743563,0.0
0,20,-0.013203807468177398,0.0
0,21,-0.011577860527080366,0.0
0,22,-0.010121931694263708,0.0
0,23,-0.008825412801955842,0.0
0,24,-0.007676353251444951,0.0
0,25,-0.006662229134084468,0.0
0,26,-0.005770488598361304,0.0
0,27,-0.004988927491633935,0.0
0,28,-0.004305937371071206,0.0
0,29,-0.003710658545692845,0.0
0,30,-0.003193063373725989,0.0
0,31,-0.0027439891903195883,0.0
0,32,-0.0023551356542323943,0.0
0,33,-0.0027439891903195883,0.0
0,34,-0.003193063373725989,0.0
0,35,-0.003710658545692845,0.0
0,36,-0.004305937371071206,0.0
0,37,-0.004988927491633935,0.0
0,38,-0.005770488598361304,0.0
0,39,-0.006662229134084468,0.0
0,40,-0.007676353251444951,0.0
0,41,-0.008825412801955842,0.0
0,42,-0.010121931694263708,0.0
0,43,-0.011577860527080366,0.0
0,44,-0.013203807468177398,0.0
0,45,-0.015007976284743563,0.0
0,46,-0.01699472344803098,0.0
0,47,-0.019162622362022545,0.0
0,48,-0.021501892791909314,0.0
0,49,-0.023991015992502366,0.0
0,50,-0.02659230899872868,0.0
0,51,-0.029246172735373676,0.0
0,52,-0.031863655178373175,0.0
0,53,-0.034316879226136784,0.0
0,54,-0.036426770853697533,0.0
0,55,-0.03794738113439424,0.0
0,56,-0.03854591916683232,0.0
0,57,-0.0377773936237499,0.0
0,58,-0.03505248841019262,0.0
0,59,-0.029596960286496877,0.0
0,60,-0.020400427879133712,0.0
0,61,-0.006151903302235546,0.0
0,62,0.014841223709338675,0.0
0,63,0.04475483244157041,0.0
1,0,0.04475483244157041,0.0
1,1,0.031118822814431405,0.0
1,2,0.00917087148795109,0.0
1,3,-0.008872732361035475,0.0
1,4,-0.0217755087186659,0.0
1,5,-0.030285428295892813,0.0
1,6,-0.035369652090153574,0.0
1,7,-0.03788869903736456,0.0
1,8,-0.038543313255445355,0.0
1,9,-0.037883769891836006,0.0
1,10,-0.03633314773979292,0.0
1,11,-0.03421146113556658,0.0
1,12,-0.03175701677077096,0.0
1,13,-0.029144246614316877,0.0
1,14,-0.02649819026298902,0.0
1,15,-0.02390607054465753,0.0
1,16,-0.021426447697313285,0.0
1,17,-0.019096399297413406,0.0
1,18,-0.016937111342448498,0.0
1,19,-0.014958201963042506,0.0
1,20,-0.013161041026620343,0.0
1,21,-0.011541278755954868,0.0
1,22,-0.010090754534957757,0.0
1,23,-0.008798922562311559,0.0
1,24,-0.007653902926335077,0.0
1,25,-0.006643243985471139,0.0
1,26,-0.005754463711857651,0.0
1,27,-0.004975423077979555,0.0
1,28,-0.004294572952040921,0.0
1,29,-0.0037011067462454786,0.0
1,30,-0.0031850437650154315,0.0
1,31,-0.0027372624450332974,0.0
1,32,-0.0023494981556995867,0.0
1,33,-0.0027372624450332974,0.0
1,34,-0.0031850437650154315,0.0
1,35,-0.0037011067462454786,0.0
1,36,-0.004294572952040921,0.0
1,37,-0.004975423077979555,0.0
1,38,-0.005754463711857651,0.0
1,39,-0.006643243985471139,0.0
1,40,-0.007653902926335077,0.0
1,41,-0.008798922562311559,0.0
1,42,-0.010090754534957757,0.0
1,43,-0.011541278755954868,0.0
1,44,-0.013161041026620343,0.0
1,45,-0.014958201963042506,0.0
1,46,-0.016937111342448498,0.0
1,47,-0.019096399297413406,0.0
1,48,-0.021426447697313285,0.0
1,49,-0.02390607054465753,0.0
1,50,-0.02649819026298902,0.0
1,51,-0.029144246614316877,0.0
1,52,-0.03175701677077096,0.0
1,53,-0.03421146113556658,0.0
1,54,-0.03633314773979292,0.0
1,55,-0.037883769891836006,0.0
1,56,-0.038543313255445355,0.0
