t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-4.871289,-2.808108,1.000000,0.000000
0.200000,4.506546,-7.297669,-2.791124,0.795365,0.555895
0.400000,5.291957,-8.081784,-2.789827,0.291199,0.893655
0.600000,5.464225,-8.245978,-2.781753,-0.314404,0.865296
0.800000,5.442517,-8.224600,-2.782083,-0.780880,0.480883
1.000000,5.542805,-8.319357,-2.776552,-0.917869,-0.100941
1.200000,4.790575,-7.575433,-2.784858,-0.677565,-0.651253
1.400000,4.407783,-7.193331,-2.785547,-0.156917,-0.940421
1.600000,4.697157,-7.484672,-2.787515,0.428569,-0.850092
1.800000,5.047425,-7.832990,-2.785564,0.845827,-0.416501
2.000000,4.815169,-7.598387,-2.783218,0.925817,0.191698
2.200000,4.560713,-7.351311,-2.790597,0.634355,0.714663
2.400000,4.396229,-7.181488,-2.785259,0.083789,0.955202
2.600000,4.492801,-7.272661,-2.779860,-0.497411,0.813485
2.800000,5.226708,-8.011741,-2.785033,-0.873497,0.344884
3.000000,4.378437,-7.166499,-2.788061,-0.903335,-0.256248
3.200000,5.232934,-8.015161,-2.782227,-0.556537,-0.741009
3.400000,5.775409,-8.558873,-2.783464,0.022395,-0.923857
3.600000,4.807543,-7.593539,-2.785997,0.589764,-0.733580
3.800000,4.376016,-7.154959,-2.778943,0.922820,-0.237798
4.000000,4.862121,-7.648925,-2.786804,0.879746,0.353050
