t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-4.395580,-2.332399,1.000000,0.000000
0.200000,2.655945,-4.980647,-2.324702,0.887008,0.453673
0.400000,2.850077,-5.175662,-2.325585,0.577747,0.807273
0.600000,2.958969,-5.281933,-2.322964,0.140660,0.979822
0.800000,3.016020,-5.339246,-2.323226,-0.327273,0.932790
1.000000,3.035972,-5.358731,-2.322758,-0.720702,0.676974
1.200000,2.922088,-5.245875,-2.323788,-0.953014,0.268739
1.400000,2.822567,-5.146249,-2.323682,-0.971834,-0.199590
1.600000,2.725529,-5.049887,-2.324358,-0.773309,-0.623123
1.800000,2.772777,-5.096128,-2.323351,-0.401420,-0.907416
2.000000,3.058052,-5.380222,-2.322170,0.061275,-0.988005
2.200000,2.887941,-5.212276,-2.324335,0.510125,-0.849125
2.400000,2.858490,-5.181855,-2.323364,0.844516,-0.519470
2.600000,2.786475,-5.109963,-2.323488,0.990523,-0.073276
2.800000,2.681717,-5.005789,-2.324072,0.915141,0.388878
3.000000,2.811799,-5.134261,-2.322462,0.634117,0.765305
3.200000,2.668721,-4.993127,-2.324406,0.213064,0.971271
3.400000,2.753154,-5.078397,-2.325243,-0.254954,0.959321
3.600000,2.891749,-5.214890,-2.323142,-0.667111,0.732581
3.800000,2.989428,-5.313663,-2.324235,-0.929333,0.342445
4.000000,2.757169,-5.080874,-2.323705,-0.984621,-0.124175
