t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-4.863703,-2.800522,1.000000,0.000000
0.200000,4.484123,-7.267656,-2.783534,0.796914,0.554543
0.400000,5.260953,-8.043217,-2.782264,0.295812,0.893250
0.600000,5.434462,-8.208679,-2.774217,-0.307996,0.869012
0.800000,5.417422,-8.191960,-2.774538,-0.776560,0.490173
1.000000,5.518578,-8.287634,-2.769055,-0.920190,-0.088167
1.200000,4.777504,-7.554771,-2.777267,-0.688779,-0.640282
1.400000,4.397642,-7.175589,-2.777947,-0.174882,-0.937699
1.600000,4.671108,-7.451086,-2.779978,0.410489,-0.859707
1.800000,5.017018,-7.795014,-2.777996,0.836189,-0.437331
2.000000,4.810829,-7.586332,-2.775503,0.931194,0.166583
2.200000,4.543498,-7.326520,-2.783023,0.655514,0.696035
2.400000,4.378740,-7.156445,-2.777704,0.114334,0.952760
2.600000,4.467620,-7.239835,-2.772216,-0.469529,0.831217
2.800000,5.186837,-7.964376,-2.777539,-0.861162,0.378222
3.000000,4.357554,-7.137787,-2.780233,-0.914250,-0.219669
3.200000,5.192432,-7.967205,-2.774773,-0.589375,-0.716989
3.400000,5.761728,-8.537841,-2.776113,-0.021103,-0.924573
3.600000,4.803527,-7.581921,-2.778394,0.553119,-0.761808
3.800000,4.381722,-7.153131,-2.771409,0.909607,-0.284778
4.000000,4.820038,-7.599283,-2.779244,0.898244,0.305406
