t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.0,0.50063,-1.004493,-0.503863,1.0,0.0
0.2,0.504221,-1.008051,-0.503831,0.994917,0.100621
0.4,0.505828,-1.009656,-0.503829,0.979735,0.200226
0.6,0.50702,-1.010848,-0.503828,0.954606,0.297799
0.8,0.507966,-1.011793,-0.503827,0.919784,0.392349
1.0,0.508785,-1.012612,-0.503827,0.875625,0.482915
1.2,0.509516,-1.013344,-0.503827,0.822575,0.568577
1.4,0.510117,-1.013944,-0.503826,0.761174,0.648466
1.6,0.510552,-1.014378,-0.503827,0.692045,0.721771
1.8,0.511206,-1.015033,-0.503827,0.615889,0.787746
2.0,0.511816,-1.015642,-0.503826,0.53348,0.845723
2.2,0.512132,-1.015958,-0.503826,0.445655,0.895112
2.4,0.512256,-1.016081,-0.503825,0.353305,0.935413
2.6,0.512249,-1.016074,-0.503825,0.257371,0.966216
2.8,0.512429,-1.016255,-0.503826,0.158823,0.987206
3.0,0.512622,-1.016449,-0.503826,0.058664,0.998172
3.2,0.51298,-1.016806,-0.503826,-0.04209,0.999002
3.4,0.513642,-1.017469,-0.503827,-0.142416,0.989686
3.6,0.51414,-1.017966,-0.503826,-0.241296,0.970321
3.8,0.514696,-1.018523,-0.503827,-0.337726,0.941103
4.0,0.515189,-1.019015,-0.503826,-0.430726,0.902329
4.2,0.515485,-1.019311,-0.503826,-0.519351,0.854392
4.4,0.515943,-1.01977,-0.503827,-0.602703,0.797779
4.6,0.516315,-1.020139,-0.503825,-0.679935,0.733063
4.8,0.516288,-1.020112,-0.503824,-0.750263,0.660905
5.0,0.516233,-1.020058,-0.503825,-0.812972,0.582037
5.2,0.516113,-1.019938,-0.503825,-0.867426,0.497258
5.4,0.515739,-1.019563,-0.503823,-0.913072,0.40743
5.6,0.515201,-1.019024,-0.503824,-0.949446,0.313465
5.8,0.514611,-1.018435,-0.503823,-0.976179,0.216318
6.0,0.514162,-1.017987,-0.503825,-0.992997,0.116973
6.2,0.513745,-1.017569,-0.503824,-0.999732,0.01644
6.4,0.51324,-1.017064,-0.503824,-0.996316,-0.084261
6.6,0.512832,-1.016656,-0.503824,-0.982782,-0.184106
6.8,0.512402,-1.016225,-0.503823,-0.959268,-0.282083
7.0,0.511828,-1.015652,-0.503824,-0.926015,-0.377196
7.2,0.51137,-1.015194,-0.503824,-0.883358,-0.468478
7.4,0.51091,-1.014735,-0.503824,-0.831731,-0.555004
7.6,0.510548,-1.014371,-0.503824,-0.771657,-0.635895
7.8,0.510082,-1.013906,-0.503824,-0.703748,-0.710331
8.0,0.509505,-1.013329,-0.503824,-0.628694,-0.777554
8.2,0.509058,-1.012883,-0.503824,-0.547256,-0.836882
8.4,0.508539,-1.012363,-0.503824,-0.460261,-0.887712
8.6,0.508079,-1.011904,-0.503825,-0.368592,-0.929528
8.8,0.507667,-1.011491,-0.503825,-0.273181,-0.961906
9.0,0.507473,-1.011298,-0.503825,-0.174995,-0.984517
9.2,0.507439,-1.011264,-0.503826,-0.075032,-0.997131
9.4,0.507451,-1.011276,-0.503826,0.025694,-0.99962
9.6,0.507409,-1.011236,-0.503826,0.126158,-0.99196
9.8,0.507424,-1.011249,-0.503825,0.225342,-0.974227
10.0,0.50732,-1.011145,-0.503825,0.322238,-0.946603
10.2,0.507282,-1.011107,-0.503825,0.415863,-0.909366
10.4,0.507279,-1.011104,-0.503825,0.505265,-0.862897
10.6,0.507168,-1.010993,-0.503825,0.589537,-0.807666
10.8,0.507553,-1.011378,-0.503826,0.667822,-0.744234
11.0,0.507582,-1.011407,-0.503825,0.739328,-0.673246
11.2,0.50759,-1.011414,-0.503824,0.803325,-0.595424
11.4,0.50776,-1.011586,-0.503826,0.859165,-0.511556
11.6,0.508144,-1.01197,-0.503826,0.90628,-0.422493
11.8,0.508542,-1.012368,-0.503827,0.944193,-0.329141
12.0,0.50911,-1.012936,-0.503826,0.972518,-0.232446
12.2,0.509575,-1.013402,-0.503827,0.990968,-0.133392
12.4,0.510327,-1.014155,-0.503828,0.999355,-0.032983
12.6,0.51114,-1.014967,-0.503828,0.997595,0.06776
