t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-4.142530,-2.140427,1.000000,0.000000
0.200000,2.258188,-4.397213,-2.139026,0.908218,0.416891
0.400000,2.336414,-4.475354,-2.138940,0.650557,0.757745
0.600000,2.374780,-4.513756,-2.138976,0.274064,0.959868
0.800000,2.396164,-4.535101,-2.138938,-0.152388,0.986225
1.000000,2.406010,-4.544973,-2.138964,-0.550776,0.831960
1.200000,2.382834,-4.521833,-2.138999,-0.848245,0.525361
1.400000,2.390184,-4.529154,-2.138970,-0.990287,0.122450
1.600000,2.350799,-4.489776,-2.138978,-0.951029,-0.302876
1.800000,2.339702,-4.478692,-2.138990,-0.737540,-0.672729
2.000000,2.350926,-4.489912,-2.138987,-0.388824,-0.919556
2.200000,2.313684,-4.452678,-2.138994,0.031069,-0.998175
2.400000,2.298082,-4.437037,-2.138955,0.445299,-0.894091
2.600000,2.288764,-4.427759,-2.138995,0.778100,-0.626370
2.800000,2.270622,-4.409650,-2.139028,0.968561,-0.244092
3.000000,2.325487,-4.464492,-2.139005,0.981639,0.182809
3.200000,2.358404,-4.497396,-2.138992,0.815089,0.576331
3.400000,2.386207,-4.525183,-2.138975,0.499394,0.864181
3.600000,2.390385,-4.529357,-2.138972,0.092204,0.993837
3.800000,2.325224,-4.464209,-2.138986,-0.331944,0.941668
4.000000,2.289241,-4.428250,-2.139009,-0.695066,0.717137
