t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.0,0.50063,-1.007776,-0.507146,1.0,0.0
0.2,0.508673,-1.015771,-0.507098,0.994828,0.101332
0.4,0.511848,-1.018943,-0.507094,0.979415,0.201637
0.6,0.514194,-1.021287,-0.507093,0.953914,0.299867
0.8,0.516076,-1.023167,-0.507092,0.918587,0.395009
1.0,0.517682,-1.024772,-0.507091,0.873797,0.486081
1.2,0.51909,-1.026181,-0.507091,0.820006,0.572145
1.4,0.5203,-1.02739,-0.507089,0.757767,0.652313
1.6,0.521254,-1.028343,-0.50709,0.687724,0.72576
1.8,0.522392,-1.029482,-0.50709,0.610594,0.791726
2.0,0.523441,-1.03053,-0.507089,0.527174,0.849535
2.2,0.524107,-1.031196,-0.507089,0.438323,0.898591
2.4,0.524592,-1.031679,-0.507087,0.344958,0.938389
2.6,0.524838,-1.031925,-0.507087,0.248042,0.968516
2.8,0.525362,-1.032451,-0.507089,0.148573,0.988661
3.0,0.525754,-1.032842,-0.507088,0.047574,0.998618
3.2,0.526279,-1.033368,-0.507089,-0.053913,0.998283
3.4,0.52728,-1.034368,-0.507089,-0.154843,0.987658
3.6,0.527911,-1.034999,-0.507088,-0.254178,0.966855
3.8,0.5286,-1.035689,-0.507088,-0.350893,0.93609
4.0,0.529196,-1.036283,-0.507088,-0.443992,0.895678
4.2,0.529523,-1.036612,-0.507089,-0.532514,0.846037
4.4,0.530124,-1.037213,-0.507089,-0.615547,0.787675
4.6,0.530773,-1.037859,-0.507087,-0.692238,0.721194
4.8,0.530787,-1.037874,-0.507086,-0.761796,0.647284
5.0,0.530685,-1.03777,-0.507086,-0.823503,0.566704
5.2,0.530564,-1.037651,-0.507087,-0.876724,0.480283
5.4,0.530148,-1.037233,-0.507085,-0.92091,0.388914
5.6,0.529523,-1.036608,-0.507084,-0.955606,0.293537
5.8,0.528777,-1.035861,-0.507084,-0.980454,0.195136
6.0,0.528203,-1.035289,-0.507086,-0.995195,0.094725
6.2,0.527756,-1.034841,-0.507085,-0.99968,-0.006666
6.4,0.527254,-1.034339,-0.507085,-0.993864,-0.107988
6.6,0.527045,-1.034132,-0.507087,-0.977804,-0.208197
6.8,0.526877,-1.033961,-0.507085,-0.951668,-0.306265
7.0,0.526186,-1.033271,-0.507085,-0.915726,-0.401176
7.2,0.525637,-1.032723,-0.507086,-0.870347,-0.491954
7.4,0.525053,-1.032138,-0.507086,-0.815999,-0.577663
7.6,0.52454,-1.031624,-0.507084,-0.75324,-0.657422
7.8,0.523896,-1.030982,-0.507086,-0.68272,-0.730407
8.0,0.523192,-1.030278,-0.507086,-0.605164,-0.795867
8.2,0.522658,-1.029743,-0.507086,-0.521373,-0.853127
8.4,0.521909,-1.028995,-0.507086,-0.432209,-0.901596
8.6,0.521278,-1.028365,-0.507087,-0.338591,-0.940775
8.8,0.520733,-1.027819,-0.507086,-0.241483,-0.970261
9.0,0.520418,-1.027505,-0.507087,-0.141887,-0.989749
9.2,0.520187,-1.027275,-0.507088,-0.040827,-0.999038
9.4,0.520042,-1.02713,-0.507087,0.060655,-0.998033
9.6,0.519743,-1.026831,-0.507088,0.161511,-0.986746
9.8,0.519567,-1.026653,-0.507085,0.260706,-0.965291
10.0,0.519127,-1.026213,-0.507086,0.357214,-0.933892
10.2,0.518709,-1.025796,-0.507087,0.450041,-0.892869
10.4,0.518458,-1.025544,-0.507086,0.538232,-0.842648
10.6,0.518186,-1.025273,-0.507087,0.620877,-0.783745
10.8,0.518896,-1.025984,-0.507088,0.697123,-0.716765
11.0,0.51891,-1.025996,-0.507086,0.766188,-0.642401
11.2,0.518882,-1.025967,-0.507085,0.827359,-0.56142
11.4,0.518983,-1.026071,-0.507088,0.880002,-0.474655
11.6,0.519377,-1.026466,-0.507089,0.923577,-0.383
11.8,0.51985,-1.026939,-0.507089,0.957635,-0.287399
12.0,0.520757,-1.027846,-0.507088,0.981824,-0.188835
12.2,0.521382,-1.028472,-0.50709,0.995898,-0.088328
12.4,0.522476,-1.029567,-0.507091,0.999707,0.013089
12.6,0.523669,-1.03076,-0.507091,0.993214,0.114371
