t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.225776,-0.438206,-0.212430,1.000000,0.000000
0.500000,0.218331,-0.430719,-0.212388,0.993916,0.107038
1.000000,0.232004,-0.444396,-0.212391,0.976190,0.212616
1.500000,0.246123,-0.458509,-0.212387,0.947392,0.315354
2.000000,0.249609,-0.461979,-0.212370,0.908145,0.414294
2.500000,0.238602,-0.450964,-0.212362,0.858894,0.508679
3.000000,0.218365,-0.430724,-0.212359,0.799900,0.597657
3.500000,0.199600,-0.411967,-0.212368,0.731461,0.680119
4.000000,0.192170,-0.404552,-0.212382,0.654204,0.754761
4.500000,0.199583,-0.411981,-0.212398,0.569175,0.820386
5.000000,0.216614,-0.429012,-0.212398,0.477732,0.876167
5.500000,0.232255,-0.444651,-0.212396,0.381230,0.921698
6.000000,0.237038,-0.449408,-0.212370,0.280769,0.956838
6.500000,0.227423,-0.439789,-0.212366,0.177183,0.981419
7.000000,0.207453,-0.419812,-0.212359,0.071293,0.995055
7.500000,0.190425,-0.402791,-0.212366,-0.035859,0.997266
8.000000,0.184536,-0.396920,-0.212384,-0.142842,0.987672
8.500000,0.192753,-0.405149,-0.212396,-0.248075,0.966305
9.000000,0.210878,-0.423279,-0.212401,-0.350053,0.933678
9.500000,0.227460,-0.439844,-0.212385,-0.447582,0.890543
10.000000,0.231138,-0.443510,-0.212372,-0.539872,0.837603
10.500000,0.220523,-0.432882,-0.212359,-0.626239,0.775382
11.000000,0.202605,-0.414967,-0.212362,-0.705862,0.704249
11.500000,0.188103,-0.400474,-0.212371,-0.777629,0.624706
12.000000,0.183409,-0.395795,-0.212386,-0.840313,0.537558
12.500000,0.193144,-0.405558,-0.212414,-0.892932,0.444056
13.000000,0.211136,-0.423533,-0.212397,-0.934891,0.345669
13.500000,0.225803,-0.438188,-0.212385,-0.966012,0.243750
14.000000,0.227640,-0.440016,-0.212375,-0.986328,0.139339
14.500000,0.217719,-0.430088,-0.212369,-0.995772,0.033332
15.000000,0.200576,-0.412938,-0.212363,-0.994046,-0.073411
15.500000,0.185646,-0.398019,-0.212372,-0.980776,-0.179697
16.000000,0.182378,-0.394764,-0.212386,-0.955816,-0.284087
16.500000,0.192864,-0.405261,-0.212397,-0.919479,-0.384994
17.000000,0.210941,-0.423342,-0.212401,-0.872503,-0.481034
17.500000,0.226540,-0.438918,-0.212378,-0.815800,-0.571200
18.000000,0.228515,-0.440888,-0.212374,-0.750149,-0.654821
18.500000,0.216814,-0.429173,-0.212359,-0.676140,-0.731271
19.000000,0.197549,-0.409908,-0.212359,-0.594242,-0.799728
19.500000,0.180336,-0.392704,-0.212368,-0.505084,-0.859143
20.000000,0.176802,-0.389192,-0.212390,-0.409721,-0.908489
20.500000,0.188722,-0.401117,-0.212395,-0.309593,-0.946972
21.000000,0.207150,-0.419550,-0.212400,-0.206215,-0.974228
21.500000,0.220513,-0.432901,-0.212388,-0.100891,-0.990308
22.000000,0.223366,-0.435738,-0.212372,0.005333,-0.995382
22.500000,0.213454,-0.425825,-0.212371,0.111631,-0.989450
23.000000,0.197028,-0.409391,-0.212363,0.217018,-0.972316
23.500000,0.182941,-0.395313,-0.212372,0.320299,-0.943760
24.000000,0.181361,-0.393754,-0.212393,0.419975,-0.903910
24.500000,0.194867,-0.407266,-0.212399,0.514525,-0.853360
25.000000,0.213968,-0.426360,-0.212393,0.602704,-0.793022
25.500000,0.228493,-0.440881,-0.212387,0.683715,-0.723924
26.000000,0.229176,-0.441548,-0.212372,0.756994,-0.646918
26.500000,0.217418,-0.429782,-0.212364,0.822011,-0.562623
27.000000,0.198556,-0.410916,-0.212360,0.877957,-0.471637
27.500000,0.187101,-0.399501,-0.212400,0.923908,-0.374789
28.000000,0.187064,-0.399456,-0.212392,0.958926,-0.273330
28.500000,0.200896,-0.413295,-0.212399,0.982466,-0.168780
29.000000,0.217019,-0.429415,-0.212396,0.994441,-0.062616
29.500000,0.232088,-0.444471,-0.212382,0.995170,0.043866
30.000000,0.232488,-0.444858,-0.212370,0.984875,0.149698
