t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.006105,-3.998584,-1.992479,1.000000,0.000000
0.200000,1.994336,-3.986325,-1.991988,0.921563,0.388204
0.400000,1.992165,-3.984148,-1.991983,0.698566,0.715513
0.600000,1.986063,-3.978055,-1.991992,0.365990,0.930578
0.800000,1.991967,-3.983946,-1.991979,-0.023995,0.999663
1.000000,1.995294,-3.987282,-1.991987,-0.410205,0.911929
1.200000,1.989838,-3.981837,-1.991999,-0.732062,0.681139
1.400000,1.981809,-3.973778,-1.991969,-0.939069,0.343498
1.600000,1.974888,-3.966874,-1.991986,-0.998760,-0.048032
1.800000,1.971941,-3.963917,-1.991976,-0.901771,-0.432022
2.000000,1.974039,-3.966034,-1.991995,-0.663313,-0.748237
2.200000,1.983093,-3.975074,-1.991981,-0.320797,-0.947070
2.400000,1.981137,-3.973128,-1.991991,0.072050,-0.997329
2.600000,1.985409,-3.977399,-1.991990,0.453598,-0.891132
2.800000,1.988783,-3.980772,-1.991989,0.763992,-0.645136
3.000000,1.997343,-3.989335,-1.991993,0.954542,-0.297934
3.200000,1.997978,-3.989965,-1.991987,0.995352,0.096010
3.400000,2.000508,-3.992482,-1.991974,0.880020,0.474898
3.600000,1.993812,-3.985787,-1.991975,0.626639,0.779293
3.800000,1.987318,-3.979314,-1.991997,0.274957,0.961445
4.000000,1.986645,-3.978633,-1.991988,-0.119854,0.992777
