t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.016645,-3.909427,-1.892782,1.000000,0.000000
0.200000,1.881556,-3.774237,-1.892681,0.928000,0.371662
0.400000,1.833137,-3.725802,-1.892666,0.722800,0.690030
0.600000,1.830492,-3.723200,-1.892708,0.413887,0.909299
0.800000,1.821295,-3.713976,-1.892682,0.045730,0.997754
1.000000,1.786144,-3.678821,-1.892677,-0.328799,0.942674
1.200000,1.767171,-3.659859,-1.892689,-0.656040,0.752027
1.400000,1.756443,-3.649145,-1.892701,-0.888797,0.453298
1.600000,1.787616,-3.680292,-1.892676,-0.993645,0.089567
1.800000,1.776043,-3.668721,-1.892678,-0.955350,-0.287022
2.000000,1.724825,-3.617549,-1.892724,-0.779451,-0.622298
2.200000,1.766429,-3.659138,-1.892709,-0.491474,-0.868149
2.400000,1.786020,-3.678717,-1.892698,-0.132706,-0.989026
2.600000,1.794425,-3.687110,-1.892686,0.245201,-0.967553
2.800000,1.814957,-3.707658,-1.892701,0.587995,-0.806854
3.000000,1.794398,-3.687092,-1.892694,0.846332,-0.529973
3.200000,1.815566,-3.708287,-1.892721,0.983098,-0.176816
3.400000,1.870608,-3.763327,-1.892719,0.978641,0.201848
3.600000,1.851571,-3.744278,-1.892707,0.833396,0.551582
3.800000,1.851858,-3.744534,-1.892676,0.568435,0.822121
4.000000,1.854376,-3.747070,-1.892694,0.221727,0.974623
