t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.232722,-0.409096,-0.176374,1.000000,0.000000
0.500000,0.221799,-0.398277,-0.176478,0.990825,0.097354
1.000000,0.250433,-0.427005,-0.176571,0.969112,0.192418
1.500000,0.288475,-0.465057,-0.176582,0.937710,0.281196
2.000000,0.318670,-0.495167,-0.176497,0.900174,0.362940
2.500000,0.329423,-0.505770,-0.176347,0.859222,0.439113
3.000000,0.314995,-0.491237,-0.176241,0.815629,0.512299
3.500000,0.279082,-0.455204,-0.176122,0.768006,0.584686
4.000000,0.230428,-0.406567,-0.176139,0.713662,0.656800
4.500000,0.183685,-0.359861,-0.176176,0.649921,0.726875
5.000000,0.151617,-0.327885,-0.176267,0.575351,0.791491
5.500000,0.140293,-0.316695,-0.176401,0.490752,0.846577
6.000000,0.155494,-0.332014,-0.176521,0.399478,0.889410
6.500000,0.186345,-0.362901,-0.176556,0.305396,0.918855
7.000000,0.229033,-0.405664,-0.176631,0.212638,0.936653
7.500000,0.260839,-0.437351,-0.176512,0.123332,0.945085
8.000000,0.274893,-0.451249,-0.176356,0.037129,0.947734
8.500000,0.271399,-0.447749,-0.176350,-0.047920,0.946752
9.000000,0.246868,-0.423064,-0.176195,-0.133741,0.941798
9.500000,0.202865,-0.379034,-0.176169,-0.222650,0.930295
10.000000,0.160151,-0.336356,-0.176204,-0.314489,0.909379
10.500000,0.128207,-0.304506,-0.176299,-0.406809,0.876034
11.000000,0.120593,-0.296999,-0.176406,-0.496040,0.829715
11.500000,0.135615,-0.312152,-0.176537,-0.577713,0.771666
12.000000,0.171353,-0.347939,-0.176586,-0.648464,0.705111
12.500000,0.212466,-0.389062,-0.176595,-0.708153,0.633557
13.000000,0.246726,-0.423231,-0.176505,-0.758404,0.560487
13.500000,0.263659,-0.440014,-0.176356,-0.801981,0.487397
14.000000,0.256287,-0.432595,-0.176309,-0.841632,0.413279
14.500000,0.227659,-0.403848,-0.176189,-0.878306,0.336071
15.000000,0.179537,-0.355714,-0.176178,-0.910703,0.252768
15.500000,0.141382,-0.317643,-0.176262,-0.936724,0.161944
16.000000,0.115364,-0.291663,-0.176299,-0.952559,0.065225
16.500000,0.106073,-0.282500,-0.176428,-0.954899,-0.035083
17.000000,0.118350,-0.294871,-0.176521,-0.943438,-0.134556
17.500000,0.154277,-0.330942,-0.176665,-0.919921,-0.228974
18.000000,0.195487,-0.372080,-0.176593,-0.886591,-0.315558
18.500000,0.231398,-0.407935,-0.176537,-0.847410,-0.394864
19.000000,0.255623,-0.432018,-0.176395,-0.805222,-0.468348
19.500000,0.253747,-0.430075,-0.176328,-0.760167,-0.538851
20.000000,0.228433,-0.404624,-0.176191,-0.710878,-0.608360
20.500000,0.193040,-0.369192,-0.176152,-0.654621,-0.677437
21.000000,0.154370,-0.330626,-0.176256,-0.588664,-0.743981
21.500000,0.127392,-0.303711,-0.176319,-0.512570,-0.804444
22.000000,0.117087,-0.293478,-0.176392,-0.427377,-0.854239
22.500000,0.128548,-0.305089,-0.176540,-0.335303,-0.891429
23.000000,0.160307,-0.336902,-0.176594,-0.241678,-0.915489
23.500000,0.206826,-0.383452,-0.176626,-0.150202,-0.928206
24.000000,0.243669,-0.420141,-0.176472,-0.062686,-0.931950
24.500000,0.270157,-0.446651,-0.176494,0.021605,-0.930576
25.000000,0.271269,-0.447512,-0.176243,0.103788,-0.925269
25.500000,0.229878,-0.405961,-0.176083,0.187498,-0.914927
26.000000,0.183991,-0.360147,-0.176156,0.274629,-0.898151
26.500000,0.144489,-0.320691,-0.176202,0.364281,-0.872025
27.000000,0.113991,-0.290266,-0.176275,0.453237,-0.833590
27.500000,0.105173,-0.281583,-0.176410,0.538383,-0.781865
28.000000,0.118899,-0.295405,-0.176506,0.615178,-0.719115
28.500000,0.150097,-0.326663,-0.176566,0.681065,-0.648532
29.000000,0.188841,-0.365431,-0.176590,0.735710,-0.574086
29.500000,0.218935,-0.395414,-0.176479,0.780818,-0.498702
30.000000,0.229358,-0.405787,-0.176429,0.819628,-0.423304
