t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.006105,-3.769695,-1.763590,1.000000,0.000000
0.200000,1.764232,-3.527731,-1.763499,0.935498,0.349583
0.400000,1.681951,-3.445455,-1.763505,0.752178,0.655160
0.600000,1.625339,-3.388843,-1.763505,0.473196,0.877020
0.800000,1.606934,-3.370464,-1.763530,0.134109,0.986881
1.000000,1.589021,-3.352540,-1.763519,-0.221687,0.970525
1.200000,1.598634,-3.362162,-1.763528,-0.549037,0.830167
1.400000,1.594441,-3.357936,-1.763496,-0.805739,0.583735
1.600000,1.566589,-3.330109,-1.763521,-0.959502,0.262269
1.800000,1.600686,-3.364225,-1.763540,-0.990659,-0.092517
2.000000,1.626924,-3.390459,-1.763534,-0.895042,-0.435518
2.200000,1.691204,-3.454737,-1.763533,-0.685222,-0.722815
2.400000,1.659856,-3.423387,-1.763530,-0.387447,-0.917443
2.600000,1.645712,-3.409232,-1.763519,-0.040169,-0.994932
2.800000,1.556263,-3.319749,-1.763486,0.312476,-0.944917
3.000000,1.614679,-3.378207,-1.763529,0.625748,-0.774631
3.200000,1.644432,-3.407943,-1.763510,0.858663,-0.505376
3.400000,1.665265,-3.428765,-1.763500,0.981972,-0.171264
3.600000,1.691329,-3.454854,-1.763525,0.979894,0.184793
3.800000,1.712290,-3.475847,-1.763557,0.852662,0.517472
4.000000,1.696466,-3.459977,-1.763511,0.616583,0.783917
