t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.016645,-4.418574,-2.401929,1.000000,0.000000
0.200000,2.970251,-5.371572,-2.401321,0.873806,0.472701
0.400000,3.254754,-5.655999,-2.401245,0.534279,0.830112
0.600000,3.377901,-5.778960,-2.401059,0.064505,0.980295
0.800000,3.448148,-5.849228,-2.401080,-0.419874,0.885795
1.000000,3.487295,-5.888325,-2.401029,-0.797426,0.570649
1.200000,3.309352,-5.710457,-2.401105,-0.976573,0.111795
1.400000,3.167904,-5.569024,-2.401121,-0.912089,-0.374945
1.600000,3.059691,-5.460928,-2.401236,-0.620783,-0.768161
1.800000,3.139177,-5.540392,-2.401215,-0.174193,-0.970511
2.000000,3.482889,-5.883745,-2.400857,0.317427,-0.930122
2.200000,3.226317,-5.627520,-2.401203,0.730056,-0.660871
2.400000,3.174706,-5.575942,-2.401236,0.960581,-0.225724
2.600000,3.086635,-5.487743,-2.401108,0.952996,0.266252
2.800000,3.008880,-5.410171,-2.401292,0.708873,0.691556
3.000000,3.127956,-5.528869,-2.400913,0.286776,0.946955
3.200000,2.986478,-5.387715,-2.401237,-0.203567,0.968363
3.400000,3.211727,-5.612992,-2.401264,-0.641930,0.748114
3.600000,3.306798,-5.707979,-2.401181,-0.922401,0.341318
3.800000,3.420983,-5.822241,-2.401258,-0.972195,-0.149321
4.000000,3.044368,-5.445494,-2.401127,-0.781709,-0.602742
