t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.232722,-0.517409,-0.284687,1.000000,0.000000
0.500000,0.216435,-0.497102,-0.280667,0.962660,0.129525
1.000000,0.236127,-0.521389,-0.285262,0.943067,0.234626
1.500000,0.573913,-0.852027,-0.278115,0.894951,0.378918
2.000000,0.125892,-0.408914,-0.283022,0.813309,0.474885
2.500000,0.504730,-0.787697,-0.282967,0.755098,0.583148
3.000000,0.507924,-0.785146,-0.277222,0.639016,0.685127
3.500000,0.163815,-0.449107,-0.285292,0.542526,0.741398
4.000000,0.715806,-0.995565,-0.279759,0.430891,0.825830
4.500000,0.326558,-0.605979,-0.279421,0.289272,0.854717
5.000000,0.362683,-0.647639,-0.284955,0.184016,0.882446
5.500000,0.767776,-1.044719,-0.276943,0.034131,0.903328
6.000000,0.188759,-0.471594,-0.282835,-0.088487,0.870369
6.500000,0.621870,-0.905173,-0.283304,-0.206894,0.862925
7.000000,0.596533,-0.872791,-0.276258,-0.347691,0.802771
7.500000,0.212040,-0.497572,-0.285532,-0.435931,0.737169
8.000000,0.820481,-1.100166,-0.279685,-0.554297,0.673162
8.500000,0.393707,-0.671982,-0.278274,-0.638877,0.555941
9.000000,0.406019,-0.691443,-0.285424,-0.702871,0.472415
9.500000,0.827441,-1.103620,-0.276180,-0.781715,0.348579
10.000000,0.224370,-0.506876,-0.282506,-0.798761,0.222698
10.500000,0.668869,-0.952261,-0.283391,-0.835304,0.115269
11.000000,0.686427,-0.962230,-0.275803,-0.837232,-0.036451
11.500000,0.242192,-0.527710,-0.285519,-0.809033,-0.144815
12.000000,0.837778,-1.116644,-0.278867,-0.799488,-0.274587
12.500000,0.394179,-0.673051,-0.278871,-0.727524,-0.398353
13.000000,0.392811,-0.678467,-0.285656,-0.673412,-0.485312
13.500000,0.808297,-1.085730,-0.277433,-0.594053,-0.604349
14.000000,0.218465,-0.500822,-0.282357,-0.483171,-0.669443
14.500000,0.597225,-0.880533,-0.283308,-0.400831,-0.740477
15.000000,0.683838,-0.959664,-0.275826,-0.264674,-0.800928
15.500000,0.218043,-0.503370,-0.285327,-0.151666,-0.812304
16.000000,0.829544,-1.109082,-0.279538,-0.030578,-0.850659
16.500000,0.431282,-0.709049,-0.277767,0.115056,-0.832180
17.000000,0.394118,-0.679860,-0.285742,0.217948,-0.811937
17.500000,0.769174,-1.045283,-0.276110,0.358811,-0.788032
18.000000,0.203543,-0.485929,-0.282386,0.464888,-0.710011
18.500000,0.574419,-0.857812,-0.283393,0.560596,-0.659794
19.000000,0.603971,-0.880737,-0.276766,0.672997,-0.561056
19.500000,0.166237,-0.451332,-0.285095,0.728239,-0.459897
20.000000,0.695671,-0.976205,-0.280534,0.808006,-0.366438
20.500000,0.373633,-0.652470,-0.278836,0.850754,-0.224768
21.000000,0.289871,-0.575343,-0.285472,0.868994,-0.121262
21.500000,0.677014,-0.954750,-0.277736,0.901820,0.014436
22.000000,0.194970,-0.476682,-0.281711,0.870557,0.145329
22.500000,0.452433,-0.736089,-0.283655,0.857967,0.251913
23.000000,0.595772,-0.873096,-0.277324,0.812341,0.395176
23.500000,0.132189,-0.416699,-0.284510,0.738060,0.488440
24.000000,0.598638,-0.880805,-0.282168,0.683826,0.596011
24.500000,0.386126,-0.664514,-0.278388,0.571183,0.693741
25.000000,0.187809,-0.473185,-0.285376,0.481100,0.747030
25.500000,0.741965,-1.020944,-0.278979,0.368504,0.827193
26.000000,0.269504,-0.549473,-0.279968,0.228570,0.851471
26.500000,0.427848,-0.712538,-0.284690,0.123750,0.880384
27.000000,0.716950,-0.993410,-0.276460,-0.026425,0.897216
27.500000,0.155807,-0.439874,-0.284067,-0.147692,0.863310
28.000000,0.620146,-0.902496,-0.282351,-0.267592,0.856394
28.500000,0.485076,-0.762164,-0.277087,-0.405876,0.792596
29.000000,0.217429,-0.503016,-0.285587,-0.493885,0.726852
29.500000,0.785982,-1.064675,-0.278694,-0.613564,0.658337
30.000000,0.292752,-0.572685,-0.279932,-0.696184,0.538740
