t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.016645,-3.639772,-1.623127,1.000000,0.000000
0.200000,1.687442,-3.310493,-1.623050,0.941338,0.328164
0.400000,1.562050,-3.185100,-1.623050,0.776683,0.620351
0.600000,1.514976,-3.138091,-1.623115,0.524500,0.842070
0.800000,1.473821,-3.096915,-1.623094,0.213543,0.967051
1.000000,1.424588,-3.047646,-1.623058,-0.120577,0.980957
1.200000,1.397571,-3.020673,-1.623102,-0.441290,0.882403
1.400000,1.400004,-3.023115,-1.623111,-0.710735,0.683171
1.600000,1.482342,-3.105409,-1.623067,-0.898372,0.406822
1.800000,1.469454,-3.092555,-1.623101,-0.981843,0.083802
2.000000,1.314137,-2.937263,-1.623125,-0.951282,-0.248741
2.200000,1.357265,-2.980384,-1.623120,-0.812592,-0.553833
2.400000,1.372565,-2.995676,-1.623112,-0.580436,-0.794642
2.600000,1.382185,-3.005268,-1.623083,-0.281418,-0.943947
2.800000,1.462886,-3.086003,-1.623117,0.050176,-0.985213
3.000000,1.424052,-3.047141,-1.623089,0.376356,-0.912469
3.200000,1.458356,-3.081479,-1.623124,0.660607,-0.735195
3.400000,1.592451,-3.215606,-1.623155,0.870021,-0.474135
3.600000,1.535508,-3.158634,-1.623126,0.978711,-0.158126
3.800000,1.535443,-3.158526,-1.623083,0.976197,0.176403
4.000000,1.497480,-3.120600,-1.623119,0.861813,0.491998
