dim,n,width,cx,cp,cu,x,h,t,tdg,p
1,9,40,14870,196,56,614,3760,7520,5640,18
1,10,44,18192,224,64,762,4588,9176,6882,20
2,9,146,106938,9982,2852,1366,32480,64960,48720,10
2,10,162,131384,12222,3492,1678,39884,79768,59826,11
