dim,n,width,cx,cry,x,h,t,tdg,ry
1,5,9,185,29,29,56,112,84,1
1,6,11,393,61,61,120,240,180,1
1,7,13,809,125,125,248,496,372,1
2,5,19,6632,1022,1021,2040,4080,3060,1
2,6,23,26600,4094,4093,8184,16368,12276,1
2,7,27,106472,16381,16381,32760,65520,49140,1
3,5,29,212968,32766,32765,65528,131056,98292,1
3,6,35,1703912,262142,262141,524280,1048560,786420,1
3,7,41,13631464,2097150,2097149,4194296,8388592,6291444,1
