t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-3.146008,-1.082827,1.000000,0.000000
0.200000,1.596323,-2.678118,-1.081795,0.953303,0.251556
0.400000,1.392213,-2.474123,-1.081910,0.840084,0.492057
0.600000,1.289336,-2.371927,-1.082592,0.667351,0.696674
0.800000,1.210184,-2.292681,-1.082497,0.447025,0.846618
1.000000,1.150844,-2.232685,-1.081841,0.197194,0.929531
1.200000,1.088454,-2.171087,-1.082633,-0.070674,0.941074
1.400000,1.092785,-2.175417,-1.082632,-0.329897,0.881677
1.600000,1.209744,-2.291963,-1.082219,-0.561043,0.758693
1.800000,1.206627,-2.289217,-1.082590,-0.744090,0.575742
2.000000,1.009163,-2.091219,-1.082056,-0.862613,0.346688
2.200000,0.972038,-2.054658,-1.082620,-0.920677,0.086685
2.400000,0.961709,-2.044327,-1.082618,-0.906136,-0.176252
2.600000,0.938953,-2.021256,-1.082303,-0.819318,-0.424131
2.800000,1.029706,-2.112479,-1.082773,-0.670083,-0.640331
3.000000,1.030978,-2.113240,-1.082263,-0.467307,-0.802288
3.200000,1.025761,-2.108346,-1.082585,-0.224382,-0.902921
3.400000,1.169779,-2.253115,-1.083336,0.037485,-0.937429
3.600000,1.154182,-2.236902,-1.082720,0.291546,-0.894712
3.800000,1.175237,-2.257806,-1.082570,0.526321,-0.782630
4.000000,1.086155,-2.168814,-1.082659,0.721808,-0.605290
