nT,xi1,xi2,bd1,bd2
100.0,1.1763584692396287,1.1724414816754793,22288.654886911187,1188692.8001417757
177.82794100389228,0.9648023319091887,0.9615893114286335,12592.460388085416,379422.5159251095
316.22776601683796,0.7087065720859828,0.7076316058036577,7053.371799655439,119040.69862019063
562.341325190349,0.8267497597697545,0.826234127213795,3965.952826852524,37635.440285133656
1000.0,0.683434646233725,0.6830644461230095,2228.8654886911186,11886.928001417755
1778.2794100389228,0.5593213708116903,0.559112381360461,1253.5801398712704,3760.158214642454
3162.2776601683795,0.363337304763734,0.3632199781556272,704.891046391878,1188.9015712576884
5623.413251903491,0.21161951898011372,0.2115520407362266,396.3836899681876,375.95292249638663
10000.0,0.16165158449312964,0.16162068079030528,222.88654886911186,118.86928001417756
17782.794100389227,0.01066102423213492,0.010490088930711572,125.34391455916762,37.59312427496809
31622.776601683792,0.015728485235028972,0.015692023226872912,70.48464640728349,11.887511868450687
56234.13251903491,0.017077657736653217,0.017067046137135587,39.635549466356984,3.758994403252478
100000.0,0.017525875719271986,0.017522606709643344,22.288654886911186,1.1886928001417756
177827.94100389228,0.01766385274894889,0.017662827152832836,12.533898050864709,0.37590164694133277
316227.7660168379,0.017709314749486334,0.017708991268886892,7.048308615934498,0.11886985590415715
562341.3251903491,0.017714424622456575,0.01771432235816838,3.9635478983234704,0.03758981034171934
1000000.0,0.01772240341741925,0.01772237109336628,2.2288654886911186,0.011886928001417756
