t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-3.844203,-1.781022,1.000000,0.000000
0.200000,1.816353,-3.594635,-1.778283,0.933337,0.355845
0.400000,1.733754,-3.512339,-1.778585,0.743879,0.665097
0.600000,1.716568,-3.495505,-1.778937,0.456516,0.886591
0.800000,1.694140,-3.473083,-1.778943,0.109311,0.990579
1.000000,1.651482,-3.430441,-1.778959,-0.251860,0.963314
1.200000,1.633296,-3.412381,-1.779085,-0.579788,0.808496
1.400000,1.628655,-3.407804,-1.779149,-0.830656,0.546789
1.600000,1.682484,-3.461184,-1.778700,-0.971408,0.213155
1.800000,1.669507,-3.448350,-1.778843,-0.983021,-0.148699
2.000000,1.568831,-3.348532,-1.779701,-0.863925,-0.490791
2.200000,1.620609,-3.400394,-1.779784,-0.630670,-0.768233
2.400000,1.640391,-3.419492,-1.779101,-0.313711,-0.943655
2.600000,1.649812,-3.428295,-1.778483,0.044897,-0.993924
2.800000,1.700051,-3.479084,-1.779033,0.397826,-0.912561
3.000000,1.664087,-3.443070,-1.778983,0.698246,-0.709966
3.200000,1.697634,-3.476685,-1.779051,0.906665,-0.413314
3.400000,1.787515,-3.566906,-1.779391,0.995441,-0.061939
3.600000,1.745388,-3.524596,-1.779207,0.952127,0.297840
3.800000,1.744030,-3.522762,-1.778732,0.783129,0.618432
4.000000,1.733191,-3.512225,-1.779034,0.510402,0.857643
