t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.006105,-4.011502,-2.005397,1.000000,0.000000
0.200000,2.011070,-4.015983,-2.004913,0.920556,0.390587
0.400000,2.014678,-4.019585,-2.004907,0.694855,0.719119
0.600000,2.012154,-4.017070,-2.004916,0.358757,0.933393
0.800000,2.019540,-4.024440,-2.004900,-0.034337,0.999361
1.000000,2.024140,-4.029050,-2.004910,-0.421973,0.906543
1.200000,2.017086,-4.022007,-2.004921,-0.742561,0.669690
1.400000,2.008895,-4.013788,-2.004893,-0.945161,0.326431
1.600000,2.002728,-4.007636,-2.004908,-0.997586,-0.068695
1.800000,1.996525,-4.001422,-2.004897,-0.891509,-0.452908
2.000000,1.996823,-4.001739,-2.004917,-0.643782,-0.765158
2.200000,2.002413,-4.007316,-2.004903,-0.293766,-0.955833
2.400000,2.003269,-4.008182,-2.004913,0.102929,-0.994642
2.600000,2.009736,-4.014648,-2.004913,0.483267,-0.875414
2.800000,2.019416,-4.024328,-2.004912,0.786822,-0.617091
3.000000,2.021854,-4.026769,-2.004915,0.965365,-0.260721
3.200000,2.020902,-4.025812,-2.004910,0.990523,0.137076
3.400000,2.022130,-4.027029,-2.004898,0.858299,0.513096
3.600000,2.013286,-4.018184,-2.004899,0.589704,0.807601
3.800000,2.005603,-4.010522,-2.004919,0.227417,0.973792
4.000000,2.008486,-4.013399,-2.004912,-0.171002,0.985263
