t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.232722,-0.481539,-0.248817,1.000000,0.000000
0.500000,0.244760,-0.491788,-0.247029,0.987779,0.124090
1.000000,0.151122,-0.398816,-0.247694,0.959663,0.240436
1.500000,0.161000,-0.409422,-0.248422,0.923770,0.351490
2.000000,0.290015,-0.537935,-0.247920,0.876634,0.463605
2.500000,0.360020,-0.606869,-0.246849,0.810231,0.572155
3.000000,0.276512,-0.523250,-0.246738,0.727165,0.666388
3.500000,0.170449,-0.418311,-0.247862,0.637906,0.745272
4.000000,0.215108,-0.463497,-0.248389,0.544619,0.816574
4.500000,0.353297,-0.600820,-0.247523,0.439759,0.881342
5.000000,0.383565,-0.630092,-0.246527,0.321752,0.930055
5.500000,0.270831,-0.517670,-0.246840,0.200568,0.957479
6.000000,0.182233,-0.430248,-0.248014,0.083470,0.970697
6.500000,0.263618,-0.511959,-0.248342,-0.034362,0.975608
7.000000,0.391402,-0.638507,-0.247106,-0.158406,0.966714
7.500000,0.386958,-0.633292,-0.246334,-0.281805,0.936090
8.000000,0.258056,-0.505114,-0.247057,-0.394453,0.887750
8.500000,0.203092,-0.451213,-0.248121,-0.497156,0.831408
9.000000,0.308901,-0.556958,-0.248057,-0.597123,0.766987
9.500000,0.424030,-0.670906,-0.246876,-0.692756,0.686032
10.000000,0.375366,-0.621674,-0.246308,-0.773664,0.588519
10.500000,0.242927,-0.490151,-0.247224,-0.836057,0.484794
11.000000,0.225395,-0.473701,-0.248305,-0.887603,0.380054
11.500000,0.359918,-0.607704,-0.247786,-0.932251,0.268234
12.000000,0.431716,-0.678296,-0.246580,-0.962041,0.145663
12.500000,0.339540,-0.586016,-0.246476,-0.969680,0.020237
13.000000,0.214219,-0.461801,-0.247582,-0.960415,-0.098731
13.500000,0.235874,-0.484245,-0.248371,-0.942631,-0.213611
14.000000,0.374803,-0.622315,-0.247512,-0.913379,-0.331282
14.500000,0.417609,-0.664152,-0.246543,-0.864242,-0.447722
15.000000,0.316675,-0.563243,-0.246568,-0.796414,-0.552104
15.500000,0.211861,-0.459609,-0.247748,-0.720248,-0.642659
16.000000,0.271651,-0.519941,-0.248291,-0.638970,-0.726813
16.500000,0.416441,-0.663565,-0.247124,-0.544893,-0.806005
17.000000,0.419848,-0.666002,-0.246154,-0.435525,-0.871034
17.500000,0.264392,-0.511252,-0.246860,-0.320439,-0.915809
18.000000,0.193609,-0.441716,-0.248107,-0.207423,-0.945868
18.500000,0.288044,-0.536222,-0.248178,-0.091946,-0.968000
19.000000,0.399699,-0.646847,-0.247148,0.031689,-0.977045
19.500000,0.362955,-0.609416,-0.246461,0.157700,-0.964437
20.000000,0.230325,-0.477572,-0.247247,0.275361,-0.933065
20.500000,0.189761,-0.438040,-0.248278,0.384603,-0.892579
21.000000,0.305717,-0.553580,-0.247863,0.492747,-0.843329
21.500000,0.387026,-0.633848,-0.246822,0.598820,-0.777154
22.000000,0.323052,-0.569684,-0.246632,0.692106,-0.692670
22.500000,0.198941,-0.446374,-0.247434,0.768300,-0.599340
23.000000,0.197390,-0.445719,-0.248328,0.834185,-0.503575
23.500000,0.314119,-0.561913,-0.247793,0.894270,-0.399657
24.000000,0.383418,-0.630274,-0.246856,0.940612,-0.282640
24.500000,0.288151,-0.534753,-0.246602,0.965717,-0.159838
25.000000,0.176116,-0.423900,-0.247784,0.973410,-0.041526
25.500000,0.211821,-0.460338,-0.248517,0.971707,0.074546
26.000000,0.358803,-0.606540,-0.247737,0.958899,0.195576
26.500000,0.396386,-0.642982,-0.246596,0.926356,0.318331
27.000000,0.292341,-0.539185,-0.246844,0.874064,0.431346
27.500000,0.192441,-0.440318,-0.247877,0.811811,0.532109
28.000000,0.251621,-0.499958,-0.248337,0.743663,0.627345
28.500000,0.386192,-0.633494,-0.247303,0.661777,0.719299
29.000000,0.390661,-0.636979,-0.246319,0.562725,0.798823
29.500000,0.269545,-0.516489,-0.246944,0.455008,0.858769
30.000000,0.201084,-0.449137,-0.248053,0.346868,0.904667
