6
64
000001,0.1269538120171987,0.0
000010,0.20085746275250585,0.0
000011,0.2383369965561304,0.0
000100,0.2513867768005359,0.0
000101,0.24857913557001815,0.0
000110,0.23597073772172059,0.0
000111,0.21777958742546885,0.0
001000,0.1968889525344689,0.0
001001,0.1752209786946131,0.0
001010,0.15401244770483494,0.0
001011,0.13401726141754575,0.0
001100,0.11565423246449884,0.0
001101,0.09911419724357089,0.0
001110,0.08443699753927146,0.0
001111,0.07156624587671781,0.0
010000,0.06038779757611233,0.0
010001,0.050756347270024586,0.0
010010,0.042513432860666237,0.0
010011,0.035499276449580085,0.0
010100,0.02956025164178144,0.0
010101,0.024553287928856905,0.0
010110,0.02034816607704616,0.0
010111,0.016828393537581424,0.0
011000,0.01389115304268444,0.0
011001,0.01144667345994749,0.0
011010,0.009417266569838925,0.0
011011,0.007736196831552431,0.0
011100,0.006346495974634389,0.0
011101,0.005199794811031008,0.0
011110,0.00425521681922797,0.0
011111,0.0034783586836211054,0.0
100000,-0.002840369752398266,0.0
100001,-0.0034783586836211054,0.0
100010,-0.00425521681922797,0.0
100011,-0.005199794811031008,0.0
100100,-0.006346495974634389,0.0
100101,-0.007736196831552431,0.0
100110,-0.009417266569838925,0.0
100111,-0.01144667345994749,0.0
101000,-0.01389115304268444,0.0
101001,-0.016828393537581424,0.0
101010,-0.02034816607704616,0.0
101011,-0.024553287928856905,0.0
101100,-0.02956025164178144,0.0
101101,-0.035499276449580085,0.0
101110,-0.042513432860666237,0.0
101111,-0.050756347270024586,0.0
110000,-0.06038779757611233,0.0
110001,-0.07156624587671781,0.0
110010,-0.08443699753927146,0.0
110011,-0.09911419724357089,0.0
110100,-0.11565423246449884,0.0
110101,-0.13401726141754575,0.0
110110,-0.15401244770483494,0.0
110111,-0.1752209786946131,0.0
111000,-0.1968889525344689,0.0
111001,-0.21777958742546885,0.0
111010,-0.23597073772172059,0.0
111011,-0.24857913557001815,0.0
111100,-0.2513867768005359,0.0
111101,-0.2383369965561304,0.0
111110,-0.20085746275250585,0.0
111111,-0.1269538120171987,0.0
