t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-3.997169,-1.995067,1.000000,0.000000
0.200000,1.994791,-3.989472,-1.994682,0.921422,0.388559
0.400000,1.992615,-3.987306,-1.994691,0.698038,0.716055
0.600000,1.992242,-3.986923,-1.994681,0.364954,0.931018
0.800000,1.989393,-3.984072,-1.994678,-0.025483,0.999666
1.000000,1.991572,-3.986253,-1.994681,-0.411915,0.911211
1.200000,1.993827,-3.988507,-1.994681,-0.733611,0.679555
1.400000,1.992279,-3.986961,-1.994682,-0.940015,0.341101
1.600000,1.990292,-3.984975,-1.994682,-0.998689,-0.050958
1.800000,1.988427,-3.983108,-1.994681,-0.900412,-0.435008
2.000000,1.985701,-3.980382,-1.994681,-0.660629,-0.750694
2.200000,1.987672,-3.982357,-1.994685,-0.317024,-0.948405
2.400000,1.988419,-3.983101,-1.994682,0.076403,-0.997067
2.600000,1.990822,-3.985505,-1.994683,0.457824,-0.889033
2.800000,1.994808,-3.989489,-1.994681,0.767296,-0.641283
3.000000,1.995307,-3.989988,-1.994681,0.956183,-0.292750
3.200000,1.993418,-3.988099,-1.994681,0.994800,0.101791
3.400000,1.994784,-3.989467,-1.994682,0.877080,0.480335
3.600000,1.994718,-3.989398,-1.994680,0.621521,0.783392
3.800000,1.994986,-3.989663,-1.994677,0.268287,0.963336
4.000000,1.995312,-3.989994,-1.994682,-0.127109,0.991886
