t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.251245,-0.394208,-0.142963,1.000000,0.000000
0.500000,0.240148,-0.383280,-0.143132,0.986198,0.092142
1.000000,0.267536,-0.410873,-0.143338,0.958589,0.182887
1.500000,0.307140,-0.450522,-0.143382,0.920163,0.264936
2.000000,0.345441,-0.488806,-0.143365,0.875993,0.336073
2.500000,0.371706,-0.514873,-0.143167,0.830974,0.397350
3.000000,0.379807,-0.522753,-0.142945,0.788646,0.452245
3.500000,0.366978,-0.509816,-0.142838,0.749611,0.504959
4.000000,0.332780,-0.475324,-0.142544,0.711556,0.559843
4.500000,0.286702,-0.429171,-0.142468,0.670773,0.619302
5.000000,0.239017,-0.381566,-0.142549,0.622424,0.683210
5.500000,0.190696,-0.333257,-0.142561,0.563059,0.747167
6.000000,0.156948,-0.299702,-0.142755,0.490107,0.807050
6.500000,0.141665,-0.284556,-0.142890,0.406056,0.857064
7.000000,0.144684,-0.287802,-0.143117,0.313036,0.891533
7.500000,0.166857,-0.310135,-0.143278,0.216884,0.909558
8.000000,0.198764,-0.342143,-0.143379,0.122824,0.912235
8.500000,0.243407,-0.386981,-0.143574,0.036846,0.903352
9.000000,0.285287,-0.428526,-0.143239,-0.038696,0.886063
9.500000,0.307381,-0.450470,-0.143090,-0.106156,0.866151
10.000000,0.308832,-0.451702,-0.142871,-0.168312,0.847229
10.500000,0.291274,-0.434010,-0.142736,-0.229767,0.830563
11.000000,0.248805,-0.391371,-0.142566,-0.294677,0.813724
11.500000,0.213614,-0.356248,-0.142634,-0.367235,0.794282
12.000000,0.172658,-0.315306,-0.142648,-0.444602,0.766902
12.500000,0.143423,-0.286159,-0.142736,-0.525918,0.727444
13.000000,0.121687,-0.264480,-0.142792,-0.604426,0.674752
13.500000,0.113173,-0.256175,-0.143002,-0.674250,0.606970
14.000000,0.124607,-0.267779,-0.143172,-0.731228,0.528475
14.500000,0.152402,-0.295735,-0.143334,-0.772772,0.444045
15.000000,0.189830,-0.333237,-0.143407,-0.798767,0.359498
15.500000,0.228612,-0.372002,-0.143390,-0.812439,0.279533
16.000000,0.270572,-0.413824,-0.143252,-0.818538,0.207704
16.500000,0.279166,-0.422304,-0.143138,-0.820613,0.141683
17.000000,0.281209,-0.424179,-0.142970,-0.824639,0.079662
17.500000,0.268417,-0.411097,-0.142679,-0.831269,0.017790
18.000000,0.241346,-0.384010,-0.142664,-0.838897,-0.048889
18.500000,0.193875,-0.336305,-0.142430,-0.843020,-0.121279
19.000000,0.143782,-0.286351,-0.142569,-0.837465,-0.202325
19.500000,0.111554,-0.254295,-0.142742,-0.819129,-0.289617
20.000000,0.096063,-0.238983,-0.142920,-0.785090,-0.376933
20.500000,0.097846,-0.240913,-0.143067,-0.735365,-0.460141
21.000000,0.113914,-0.257107,-0.143193,-0.673681,-0.532996
21.500000,0.143325,-0.286686,-0.143361,-0.604229,-0.591138
22.000000,0.173554,-0.316766,-0.143212,-0.531571,-0.634478
22.500000,0.198318,-0.341364,-0.143047,-0.461196,-0.666215
23.000000,0.213167,-0.356335,-0.143168,-0.395725,-0.691210
23.500000,0.223115,-0.366022,-0.142907,-0.336711,-0.712805
24.000000,0.204920,-0.347596,-0.142676,-0.279121,-0.734733
24.500000,0.186091,-0.328955,-0.142864,-0.219190,-0.760499
25.000000,0.165786,-0.308526,-0.142740,-0.153946,-0.788319
25.500000,0.146488,-0.289306,-0.142818,-0.079076,-0.814418
26.000000,0.120572,-0.263275,-0.142703,0.004109,-0.833886
26.500000,0.097538,-0.240342,-0.142804,0.095197,-0.840191
27.000000,0.084203,-0.227128,-0.142926,0.188851,-0.830910
27.500000,0.086269,-0.229367,-0.143097,0.280157,-0.804957
28.000000,0.104334,-0.247550,-0.143216,0.362457,-0.764077
28.500000,0.135313,-0.278624,-0.143311,0.433223,-0.713291
29.000000,0.172045,-0.315387,-0.143342,0.491130,-0.657668
29.500000,0.196668,-0.339910,-0.143243,0.538065,-0.601350
30.000000,0.222541,-0.365796,-0.143254,0.579174,-0.549302
