t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.225776,-0.430842,-0.205066,1.000000,0.000000
0.500000,0.216383,-0.421437,-0.205054,0.993584,0.104413
1.000000,0.236638,-0.441701,-0.205063,0.975637,0.207116
1.500000,0.259454,-0.464512,-0.205058,0.947282,0.306432
2.000000,0.269501,-0.474537,-0.205037,0.909676,0.401717
2.500000,0.259297,-0.464320,-0.205023,0.863437,0.492885
3.000000,0.232345,-0.437357,-0.205012,0.808488,0.579745
3.500000,0.200544,-0.405558,-0.205013,0.744426,0.661470
4.000000,0.178093,-0.383123,-0.205029,0.671200,0.736504
4.500000,0.175284,-0.380336,-0.205052,0.589560,0.803038
5.000000,0.191947,-0.397015,-0.205067,0.501126,0.859670
5.500000,0.218267,-0.423340,-0.205073,0.407868,0.905838
6.000000,0.240797,-0.445851,-0.205054,0.311419,0.941818
6.500000,0.247200,-0.452241,-0.205040,0.212624,0.968215
7.000000,0.231390,-0.436406,-0.205016,0.111732,0.985235
7.500000,0.204369,-0.409378,-0.205010,0.008847,0.992500
8.000000,0.176361,-0.381380,-0.205019,-0.095290,0.988994
8.500000,0.161611,-0.366649,-0.205037,-0.199259,0.973829
9.000000,0.168247,-0.373308,-0.205061,-0.300988,0.946869
9.500000,0.191501,-0.396568,-0.205067,-0.398381,0.908821
10.000000,0.217740,-0.422803,-0.205063,-0.490188,0.861008
10.500000,0.234156,-0.439201,-0.205045,-0.575944,0.804827
11.000000,0.234096,-0.439127,-0.205031,-0.655741,0.741088
11.500000,0.217980,-0.422994,-0.205014,-0.729427,0.669938
12.000000,0.189032,-0.394048,-0.205016,-0.796218,0.591054
12.500000,0.165499,-0.370535,-0.205036,-0.854772,0.504577
13.000000,0.158752,-0.363799,-0.205046,-0.903448,0.411494
13.500000,0.171317,-0.376378,-0.205061,-0.941046,0.313570
14.000000,0.194722,-0.399792,-0.205071,-0.967333,0.212780
14.500000,0.220644,-0.425707,-0.205063,-0.982865,0.110943
15.000000,0.234697,-0.439742,-0.205045,-0.988433,0.008897
15.500000,0.228677,-0.433700,-0.205022,-0.984416,-0.093009
16.000000,0.205114,-0.410126,-0.205011,-0.970524,-0.194718
16.500000,0.176898,-0.381914,-0.205015,-0.946013,-0.295516
17.000000,0.158882,-0.363919,-0.205037,-0.910263,-0.393901
17.500000,0.161084,-0.366134,-0.205050,-0.863363,-0.487830
18.000000,0.180097,-0.385166,-0.205070,-0.806255,-0.575441
18.500000,0.207683,-0.412749,-0.205066,-0.740599,-0.655539
19.000000,0.228571,-0.433621,-0.205050,-0.667910,-0.727800
19.500000,0.228008,-0.433033,-0.205025,-0.589028,-0.792427
20.000000,0.210969,-0.415990,-0.205020,-0.504206,-0.849576
20.500000,0.186301,-0.391312,-0.205012,-0.413451,-0.898635
21.000000,0.161798,-0.366822,-0.205024,-0.317052,-0.938247
21.500000,0.150219,-0.355263,-0.205044,-0.216050,-0.967018
22.000000,0.159705,-0.364767,-0.205062,-0.112405,-0.984073
22.500000,0.185162,-0.390240,-0.205078,-0.008201,-0.989394
23.000000,0.216530,-0.421595,-0.205065,0.094758,-0.983729
23.500000,0.233917,-0.438964,-0.205047,0.195751,-0.968018
24.000000,0.231686,-0.436720,-0.205034,0.294578,-0.942937
24.500000,0.213640,-0.418655,-0.205015,0.391054,-0.908468
25.000000,0.185447,-0.390458,-0.205011,0.484450,-0.863981
25.500000,0.164531,-0.369563,-0.205032,0.573370,-0.809079
26.000000,0.160483,-0.365533,-0.205050,0.655835,-0.744094
26.500000,0.177180,-0.382248,-0.205068,0.730192,-0.670279
27.000000,0.204569,-0.409636,-0.205067,0.795366,-0.589443
27.500000,0.233736,-0.438825,-0.205089,0.851362,-0.503262
28.000000,0.245496,-0.450539,-0.205043,0.898424,-0.412793
28.500000,0.235527,-0.440544,-0.205018,0.936755,-0.318319
29.000000,0.204613,-0.409624,-0.205012,0.965900,-0.219710
29.500000,0.179614,-0.384632,-0.205017,0.985006,-0.117493
30.000000,0.164643,-0.369682,-0.205039,0.992725,-0.012922
