t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.002102,-3.915343,-1.913241,1.000000,0.000000
0.200000,1.893695,-3.806897,-1.913202,0.927066,0.374374
0.400000,1.857929,-3.771140,-1.913211,0.719172,0.694294
0.600000,1.840130,-3.753336,-1.913206,0.406572,0.913063
0.800000,1.825741,-3.738954,-1.913213,0.034784,0.998784
1.000000,1.822653,-3.735860,-1.913207,-0.342032,0.938990
1.200000,1.833239,-3.746430,-1.913192,-0.668978,0.742395
1.400000,1.824730,-3.737938,-1.913208,-0.898413,0.437598
1.600000,1.836062,-3.749274,-1.913212,-0.996949,0.069057
1.800000,1.839694,-3.752901,-1.913207,-0.950197,-0.309530
2.000000,1.826914,-3.740123,-1.913209,-0.764942,-0.643055
2.200000,1.842586,-3.755797,-1.913210,-0.468255,-0.882916
2.400000,1.853748,-3.766965,-1.913218,-0.103335,-0.994125
2.600000,1.863978,-3.777191,-1.913213,0.276675,-0.960498
2.800000,1.883394,-3.796599,-1.913205,0.616395,-0.786961
3.000000,1.873814,-3.787018,-1.913204,0.866283,-0.498765
3.200000,1.850935,-3.764139,-1.913204,0.989991,-0.137849
3.400000,1.844131,-3.757333,-1.913202,0.969494,0.243106
3.600000,1.830396,-3.743608,-1.913213,0.807733,0.588660
3.800000,1.835745,-3.748958,-1.913212,0.528282,0.848498
4.000000,1.872518,-3.785724,-1.913206,0.171960,0.984714
