t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.251245,-0.518402,-0.267158,1.000000,0.000000
0.500000,0.239469,-0.503798,-0.264329,0.981138,0.130033
1.000000,0.101094,-0.367328,-0.266234,0.948003,0.242652
1.500000,0.218106,-0.486533,-0.268427,0.916200,0.355785
2.000000,0.410466,-0.676265,-0.265799,0.863283,0.479211
2.500000,0.311568,-0.574974,-0.263406,0.780826,0.586566
3.000000,0.135676,-0.401769,-0.266093,0.695294,0.669427
3.500000,0.262016,-0.530402,-0.268386,0.611193,0.752278
4.000000,0.462824,-0.728621,-0.265797,0.504401,0.833832
4.500000,0.349415,-0.612594,-0.263179,0.379715,0.886762
5.000000,0.158224,-0.424134,-0.265910,0.264100,0.915971
5.500000,0.279191,-0.547769,-0.268578,0.150816,0.945366
6.000000,0.505047,-0.770721,-0.265674,0.018308,0.962440
6.500000,0.379621,-0.642627,-0.263006,-0.116608,0.946097
7.000000,0.178273,-0.444078,-0.265806,-0.231546,0.913142
7.500000,0.302462,-0.570946,-0.268484,-0.344095,0.881405
8.000000,0.533861,-0.799388,-0.265527,-0.467444,0.830377
8.500000,0.402691,-0.664901,-0.262210,-0.576976,0.749017
9.000000,0.184677,-0.450541,-0.265864,-0.660551,0.663113
9.500000,0.306513,-0.575064,-0.268551,-0.741651,0.580088
10.000000,0.520552,-0.786213,-0.265662,-0.822806,0.475727
10.500000,0.396591,-0.659483,-0.262891,-0.876757,0.351557
11.000000,0.191847,-0.457556,-0.265709,-0.904705,0.235380
11.500000,0.314285,-0.582679,-0.268393,-0.931908,0.122815
12.000000,0.540740,-0.806504,-0.265764,-0.949585,-0.007934
12.500000,0.425410,-0.688043,-0.262632,-0.934097,-0.143433
13.000000,0.185913,-0.451711,-0.265799,-0.900618,-0.259171
13.500000,0.300810,-0.569255,-0.268445,-0.868394,-0.369449
14.000000,0.501810,-0.767317,-0.265507,-0.819342,-0.490667
14.500000,0.380830,-0.643906,-0.263076,-0.739118,-0.599609
15.000000,0.174651,-0.440285,-0.265634,-0.651406,-0.681874
15.500000,0.277576,-0.545862,-0.268286,-0.567955,-0.760346
16.000000,0.461690,-0.727253,-0.265563,-0.465718,-0.840191
16.500000,0.379617,-0.642557,-0.262940,-0.341870,-0.893812
17.000000,0.167551,-0.433083,-0.265532,-0.224253,-0.920546
17.500000,0.245864,-0.514208,-0.268345,-0.113357,-0.945654
18.000000,0.448179,-0.713857,-0.265679,0.014584,-0.962911
18.500000,0.362145,-0.625956,-0.263811,0.148206,-0.947740
19.000000,0.173246,-0.438619,-0.265373,0.262681,-0.910513
19.500000,0.238700,-0.507056,-0.268356,0.370612,-0.874684
20.000000,0.475336,-0.742393,-0.267057,0.489140,-0.824525
20.500000,0.416605,-0.679727,-0.263122,0.598384,-0.742925
21.000000,0.191305,-0.456392,-0.265086,0.680053,-0.652451
21.500000,0.246323,-0.514739,-0.268415,0.755130,-0.567252
22.000000,0.496102,-0.762758,-0.266655,0.832301,-0.464558
22.500000,0.464928,-0.727653,-0.262725,0.886061,-0.338802
23.000000,0.212074,-0.476955,-0.264881,0.911422,-0.218344
23.500000,0.264536,-0.532916,-0.268380,0.933202,-0.106552
24.000000,0.519631,-0.786397,-0.266766,0.948629,0.020855
24.500000,0.488222,-0.750483,-0.262260,0.932379,0.157404
25.000000,0.213477,-0.478517,-0.265040,0.894036,0.275515
25.500000,0.268952,-0.537391,-0.268438,0.856645,0.383454
26.000000,0.496164,-0.762224,-0.266060,0.807109,0.501504
26.500000,0.442658,-0.705655,-0.262996,0.725932,0.611821
27.000000,0.199415,-0.464269,-0.264854,0.633229,0.694458
27.500000,0.241434,-0.509595,-0.268161,0.546611,0.768537
28.000000,0.468646,-0.735108,-0.266462,0.445056,0.845440
28.500000,0.412997,-0.676543,-0.263546,0.320003,0.900577
29.000000,0.183847,-0.448796,-0.264950,0.198115,0.925306
29.500000,0.221535,-0.489806,-0.268270,0.086014,0.944311
30.000000,0.463279,-0.729294,-0.266015,-0.040763,0.959634
