t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.063181,-3.786961,-1.723780,1.000000,0.000000
0.200000,1.776210,-3.497120,-1.720910,0.936540,0.345662
0.400000,1.675517,-3.396745,-1.721229,0.756649,0.648778
0.600000,1.647349,-3.368983,-1.721634,0.482656,0.870872
0.800000,1.617685,-3.339325,-1.721640,0.148926,0.983506
1.000000,1.572487,-3.294058,-1.721571,-0.202745,0.972559
1.200000,1.550907,-3.272712,-1.721805,-0.529144,0.839518
1.400000,1.549474,-3.271306,-1.721831,-0.788717,0.601353
1.600000,1.615431,-3.336783,-1.721353,-0.949101,0.288390
1.800000,1.601864,-3.323418,-1.721555,-0.989623,-0.060768
2.000000,1.477996,-3.200359,-1.722363,-0.905104,-0.402214
2.200000,1.528536,-3.251042,-1.722506,-0.707372,-0.693724
2.400000,1.547618,-3.269465,-1.721847,-0.420612,-0.897711
2.600000,1.558364,-3.279458,-1.721094,-0.080884,-0.988745
2.800000,1.621592,-3.343356,-1.721764,0.269310,-0.955681
3.000000,1.582571,-3.304211,-1.721640,0.585919,-0.802056
3.200000,1.618500,-3.340253,-1.721753,0.829676,-0.547722
3.400000,1.725964,-3.448091,-1.722127,0.969861,-0.224755
3.600000,1.676398,-3.398367,-1.721969,0.987828,0.126726
3.800000,1.675495,-3.397001,-1.721506,0.882367,0.462624
4.000000,1.654218,-3.375982,-1.721764,0.666117,0.741193
