t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,2.016645,-3.826571,-1.809926,1.000000,0.000000
0.200000,1.808821,-3.618675,-1.809853,0.932589,0.358439
0.400000,1.733861,-3.543709,-1.809848,0.740669,0.669223
0.600000,1.716921,-3.526817,-1.809896,0.449884,0.890476
0.800000,1.697182,-3.507056,-1.809874,0.099277,0.992160
1.000000,1.656636,-3.466496,-1.809860,-0.264210,0.960638
1.200000,1.637828,-3.447708,-1.809880,-0.592314,0.800216
1.400000,1.632582,-3.442474,-1.809892,-0.840689,0.532571
1.600000,1.681815,-3.491675,-1.809860,-0.976137,0.193872
1.800000,1.668852,-3.478728,-1.809876,-0.980150,-0.170821
2.000000,1.578298,-3.388216,-1.809918,-0.852183,-0.512533
2.200000,1.627008,-3.436909,-1.809901,-0.610035,-0.785744
2.400000,1.646654,-3.456544,-1.809890,-0.285859,-0.953272
2.600000,1.657861,-3.467731,-1.809870,0.076774,-0.992710
2.800000,1.701527,-3.511419,-1.809892,0.429347,-0.898892
3.000000,1.669139,-3.479021,-1.809882,0.724478,-0.684128
3.200000,1.700501,-3.510407,-1.809906,0.922781,-0.377508
3.400000,1.783558,-3.593473,-1.809914,0.997624,-0.020217
3.600000,1.745266,-3.555166,-1.809901,0.938390,0.339971
3.800000,1.742122,-3.551983,-1.809860,0.753569,0.654774
4.000000,1.736027,-3.545919,-1.809891,0.467620,0.882159
