t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.225776,-0.426638,-0.200862,1.000000,0.000000
0.500000,0.215388,-0.416237,-0.200849,0.993197,0.102642
1.000000,0.239190,-0.440050,-0.200860,0.974758,0.203363
1.500000,0.267424,-0.468280,-0.200856,0.946273,0.300131
2.000000,0.283088,-0.483922,-0.200834,0.909416,0.392443
2.500000,0.276521,-0.477337,-0.200817,0.865111,0.480708
3.000000,0.248921,-0.449722,-0.200801,0.813202,0.565373
3.500000,0.210864,-0.411660,-0.200797,0.752796,0.646092
4.000000,0.177313,-0.378123,-0.200810,0.683139,0.721371
4.500000,0.162280,-0.363115,-0.200835,0.604403,0.789004
5.000000,0.170532,-0.371389,-0.200857,0.518059,0.846909
5.500000,0.196690,-0.397562,-0.200872,0.426455,0.893932
6.000000,0.228837,-0.429698,-0.200861,0.331938,0.930222
6.500000,0.251392,-0.452243,-0.200851,0.235954,0.956861
7.000000,0.250785,-0.451605,-0.200820,0.138870,0.974870
7.500000,0.231093,-0.431895,-0.200802,0.040214,0.984672
8.000000,0.196827,-0.397625,-0.200798,-0.060235,0.985408
8.500000,0.164045,-0.364854,-0.200809,-0.162029,0.975636
9.000000,0.148642,-0.349477,-0.200835,-0.263388,0.954198
9.500000,0.154669,-0.355520,-0.200851,-0.361648,0.920783
10.000000,0.178471,-0.379333,-0.200863,-0.454561,0.876364
10.500000,0.209191,-0.410051,-0.200859,-0.540698,0.822916
11.000000,0.234580,-0.435431,-0.200851,-0.619937,0.762397
11.500000,0.245173,-0.445999,-0.200826,-0.692781,0.695977
12.000000,0.228656,-0.429465,-0.200809,-0.759727,0.623454
12.500000,0.196922,-0.397735,-0.200813,-0.820616,0.544142
13.000000,0.163830,-0.364637,-0.200807,-0.874065,0.457573
13.500000,0.143338,-0.344162,-0.200825,-0.918018,0.364234
14.000000,0.143755,-0.344607,-0.200852,-0.950789,0.265731
14.500000,0.166404,-0.367271,-0.200867,-0.971662,0.164800
15.000000,0.200364,-0.401235,-0.200871,-0.981165,0.063733
15.500000,0.231079,-0.431933,-0.200854,-0.980572,-0.035858
16.000000,0.242219,-0.443049,-0.200830,-0.971170,-0.133880
16.500000,0.229698,-0.430505,-0.200808,-0.953461,-0.230763
17.000000,0.199893,-0.400697,-0.200804,-0.926881,-0.326788
17.500000,0.167404,-0.368203,-0.200799,-0.890255,-0.421271
18.000000,0.144775,-0.345600,-0.200825,-0.842579,-0.512475
18.500000,0.143613,-0.344459,-0.200846,-0.784108,-0.597921
19.000000,0.163518,-0.364380,-0.200862,-0.716231,-0.675384
19.500000,0.190926,-0.391783,-0.200857,-0.641020,-0.743733
20.000000,0.216002,-0.416854,-0.200853,-0.560632,-0.803239
20.500000,0.230710,-0.431542,-0.200832,-0.476363,-0.854729
21.000000,0.222798,-0.423613,-0.200815,-0.388232,-0.898770
21.500000,0.195666,-0.396473,-0.200807,-0.295543,-0.935272
22.000000,0.165464,-0.366269,-0.200805,-0.198130,-0.963085
22.500000,0.144478,-0.345308,-0.200829,-0.096681,-0.980429
23.000000,0.142170,-0.343013,-0.200843,0.006671,-0.985781
23.500000,0.159550,-0.360412,-0.200862,0.109584,-0.978686
24.000000,0.190779,-0.391653,-0.200874,0.209738,-0.960180
24.500000,0.225391,-0.426253,-0.200862,0.305747,-0.932057
25.000000,0.243596,-0.444429,-0.200834,0.397428,-0.895726
25.500000,0.239469,-0.440290,-0.200821,0.485430,-0.851847
26.000000,0.213700,-0.414503,-0.200803,0.569990,-0.799991
26.500000,0.181937,-0.382743,-0.200806,0.650589,-0.739229
27.000000,0.154862,-0.355678,-0.200816,0.725335,-0.668996
27.500000,0.150053,-0.350913,-0.200860,0.792100,-0.589835
28.000000,0.165815,-0.366679,-0.200865,0.848733,-0.503532
28.500000,0.198925,-0.399794,-0.200869,0.894417,-0.412470
29.000000,0.225545,-0.426405,-0.200860,0.929601,-0.318542
29.500000,0.248169,-0.449008,-0.200839,0.955768,-0.223140
30.000000,0.246903,-0.447725,-0.200822,0.973597,-0.126350
