t,Hk,Hp,Hk+Hp,autocorr.re,autocorr.im
0.000000,0.225776,-0.422000,-0.196224,1.000000,0.000000
0.500000,0.216069,-0.412311,-0.196242,0.992903,0.101754
1.000000,0.241016,-0.437272,-0.196257,0.974103,0.201494
1.500000,0.271166,-0.467418,-0.196252,0.945412,0.296948
2.000000,0.289181,-0.485410,-0.196229,0.908791,0.387657
2.500000,0.284687,-0.480898,-0.196211,0.865370,0.474281
3.000000,0.257871,-0.454066,-0.196195,0.814997,0.557619
3.500000,0.218278,-0.414465,-0.196186,0.756555,0.637630
4.000000,0.180604,-0.376800,-0.196196,0.688911,0.712931
4.500000,0.159890,-0.356106,-0.196217,0.611862,0.781168
5.000000,0.162784,-0.359027,-0.196243,0.526692,0.839898
5.500000,0.186305,-0.382564,-0.196259,0.435855,0.887571
6.000000,0.220193,-0.416454,-0.196260,0.342061,0.924121
6.500000,0.248866,-0.445118,-0.196251,0.247173,0.950749
7.000000,0.256349,-0.452571,-0.196222,0.151812,0.968858
7.500000,0.243567,-0.439772,-0.196205,0.055388,0.979421
8.000000,0.211291,-0.407480,-0.196189,-0.042755,0.981886
8.500000,0.174125,-0.370315,-0.196190,-0.142813,0.974771
9.000000,0.149605,-0.345818,-0.196213,-0.243448,0.956478
9.500000,0.144183,-0.340416,-0.196233,-0.341979,0.926005
10.000000,0.160091,-0.356342,-0.196251,-0.435772,0.883808
10.500000,0.190047,-0.386305,-0.196258,-0.522725,0.831805
11.000000,0.222592,-0.418846,-0.196254,-0.602204,0.772411
11.500000,0.246507,-0.442740,-0.196233,-0.674613,0.707520
12.000000,0.243249,-0.439464,-0.196216,-0.740929,0.637451
12.500000,0.218611,-0.414806,-0.196194,-0.801828,0.561600
13.000000,0.182834,-0.379024,-0.196190,-0.856599,0.478975
13.500000,0.150039,-0.346238,-0.196199,-0.903330,0.389168
14.000000,0.134591,-0.330817,-0.196226,-0.939860,0.292967
14.500000,0.143181,-0.339424,-0.196243,-0.964541,0.192940
15.000000,0.171606,-0.367869,-0.196263,-0.977081,0.091818
15.500000,0.209010,-0.405269,-0.196259,-0.978452,-0.007827
16.000000,0.236840,-0.433083,-0.196243,-0.970420,-0.105114
16.500000,0.243844,-0.440065,-0.196221,-0.954468,-0.200219
17.000000,0.227572,-0.423772,-0.196201,-0.930941,-0.293962
17.500000,0.196426,-0.392614,-0.196187,-0.898953,-0.386725
18.000000,0.161240,-0.357435,-0.196195,-0.856916,-0.477816
18.500000,0.138859,-0.335072,-0.196213,-0.803962,-0.565117
19.000000,0.137822,-0.334058,-0.196236,-0.740346,-0.645886
19.500000,0.154974,-0.351221,-0.196248,-0.667640,-0.717859
20.000000,0.184192,-0.380448,-0.196256,-0.588506,-0.780213
20.500000,0.215879,-0.412130,-0.196252,-0.505414,-0.833284
21.000000,0.232023,-0.428254,-0.196231,-0.419514,-0.878092
21.500000,0.224385,-0.420598,-0.196214,-0.330532,-0.915789
22.000000,0.201862,-0.398058,-0.196197,-0.237788,-0.946479
22.500000,0.172907,-0.369110,-0.196203,-0.140634,-0.968905
23.000000,0.147202,-0.343407,-0.196205,-0.039889,-0.980963
23.500000,0.136988,-0.333217,-0.196229,0.062824,-0.980813
24.000000,0.149330,-0.345585,-0.196254,0.164711,-0.968083
24.500000,0.181801,-0.378066,-0.196265,0.263024,-0.943880
25.000000,0.217626,-0.413882,-0.196256,0.356146,-0.910015
25.500000,0.242747,-0.438993,-0.196246,0.444066,-0.868506
26.000000,0.245303,-0.441519,-0.196216,0.527496,-0.820374
26.500000,0.228320,-0.424521,-0.196201,0.607385,-0.765403
27.000000,0.195138,-0.391327,-0.196190,0.683373,-0.702479
27.500000,0.166920,-0.363117,-0.196197,0.754173,-0.630633
28.000000,0.148511,-0.344732,-0.196221,0.817074,-0.549942
28.500000,0.153346,-0.349588,-0.196242,0.869734,-0.461868
29.000000,0.173346,-0.369602,-0.196256,0.910888,-0.368618
29.500000,0.210503,-0.406764,-0.196260,0.941159,-0.273160
30.000000,0.240832,-0.437084,-0.196253,0.961541,-0.177274
